class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,40,0.7911324786324786
1,ship,6,3,0.5
2,storage-tank,15,4,0.02222222222222222
3,baseball-diamond,11,0,0.0
4,tennis-court,87,44,0.5057471264367817
5,basketball-court,6,2,0.3333333333333333
6,ground-track-field,9,0,0.0
7,harbor,48,14,0.24181547619047622
8,bridge,10,1,0.1
9,large-vehicle,57,6,0.10526315789473684
10,small-vehicle,175,52,0.2905494505494506
11,helicopter,0,0,
12,roundabout,5,0,0.0
13,soccer-ball-field,7,1,0.14285714285714285
14,swimming-pool,64,0,0.0
