class_id,class_name,n_gt_px,f_score
0,plane,64509,0.002288354370679276
1,ship,5474,0.0
2,storage-tank,5526,0.1601709049913979
3,baseball-diamond,19516,0.011695541067371895
4,tennis-court,194379,0.010661989399809165
5,basketball-court,12744,0.08013837422446733
6,ground-track-field,29502,0.01313658648531022
7,harbor,140055,0.045767222920808946
8,bridge,7670,0.0
9,large-vehicle,86840,0.04122007077443598
10,small-vehicle,115861,0.012585904604600023
11,helicopter,0,
12,roundabout,10922,0.007257816307029398
13,soccer-ball-field,27994,0.0013936203158872716
14,swimming-pool,52001,0.056034258853271526
