name,ods_threshold,ods_f_score
P0063,212,0.24310097299779457
P0081,116,0.07651762930543937
P0198,153,0.4469469011250194
P0308,20,0.1266909050918276
P0336,20,0.08433451650121435
P0345,153,0.06205219095298352
P0363,49,0.1977774879598164
P0368,49,0.15052350644037274
P0377,27,0.1524676355131545
P0452,20,0.04716868539907386
P0517,197,0.16956503419964003
P0565,197,0.11145220252637868
P0649,116,0.39641921195657
P0699,64,0.0776699776560479
P0806,71,0.15028952963297929
P1003,212,0.10050963322119956
P1029,205,0.13812229184832484
P1148,20,0.031206381689019715
P1158,64,0.08770826332239745
P1207,42,1.0
P1216,94,0.19719334106409325
P1242,175,0.06917932535688676
P1358,108,0.12181375936055469
P1522,64,0.10943456978063582
P1676,86,0.020400768661999837
P1693,168,1.0
P1960,131,0.3239802390332788
P2002,197,0.22309452808680233
P2045,27,0.18031948825052116
P2210,168,0.11265542707018351
P2257,20,0.13007244919931676
P2278,168,0.1527856174994407
P2332,42,0.02119251812997427
P2352,27,0.005193529522856247
P2456,20,0.004982665995683176
P2528,131,0.02386183204736786
P2591,160,0.10226966105362856
P2613,160,0.20044865074107318
P2724,27,0.03433513217338603
P2754,27,0.002572127350112322
