class_id,class_name,n_gt_px,f_score
0,plane,64509,0.05794939772551226
1,ship,5474,0.060410468845437215
2,storage-tank,5526,0.023696209598788334
3,baseball-diamond,19516,0.03013618648463242
4,tennis-court,194379,0.09016057587652483
5,basketball-court,12744,0.09060532995920183
6,ground-track-field,29502,0.021743266603536756
7,harbor,140055,0.07356331328057523
8,bridge,7670,0.07256881129869318
9,large-vehicle,86840,0.07393190843716506
10,small-vehicle,115861,0.08138108661708829
11,helicopter,0,
12,roundabout,10922,0.025200241535914412
13,soccer-ball-field,27994,0.023750405436257456
14,swimming-pool,52001,0.08218340228953941
