class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,51,0.8883415587303941
1,ship,6,5,0.6
2,storage-tank,15,23,0.8745098039215687
3,baseball-diamond,11,10,0.6136363636363636
4,tennis-court,87,87,0.9651115618661257
5,basketball-court,6,6,1.0
6,ground-track-field,9,8,0.8888888888888888
7,harbor,48,45,0.7941949155363789
8,bridge,10,9,0.9
9,large-vehicle,57,79,0.6945609546168826
10,small-vehicle,175,144,0.6515631237204561
11,helicopter,0,0,
12,roundabout,5,2,0.2
13,soccer-ball-field,7,5,0.5714285714285714
14,swimming-pool,64,18,0.20579594017094022
