class_id,class_name,n_gt_px,f_score
0,plane,64509,0.06298711177311547
1,ship,5474,0.0236972658209468
2,storage-tank,5526,0.030622647664759202
3,baseball-diamond,19516,0.026092944430613753
4,tennis-court,194379,0.07933282255664438
5,basketball-court,12744,0.07406418552052003
6,ground-track-field,29502,0.027385915912655774
7,harbor,140055,0.06382524893513362
8,bridge,7670,0.06753863346972108
9,large-vehicle,86840,0.05882783876213391
10,small-vehicle,115861,0.08280178278303421
11,helicopter,0,
12,roundabout,10922,0.030206365360356476
13,soccer-ball-field,27994,0.029138026015391682
14,swimming-pool,52001,0.07927146427230165
