name,edge_pixel_frac,mean_response
P0063,0.7487020492553711,98.70343112945557
P0081,0.2444448471069336,31.14093589782715
P0198,0.5650529861450195,70.04222869873047
P0308,0.22577381134033203,27.5339412689209
P0336,0.27248287200927734,34.88136577606201
P0345,0.29856204986572266,34.47647476196289
P0363,0.34138965606689453,39.02603530883789
P0368,0.38723278045654297,44.61116600036621
P0377,0.1573925018310547,17.133703231811523
P0452,0.37471485137939453,46.09928321838379
P0517,0.5941019058227539,76.35471153259277
P0565,0.2516918182373047,28.605276107788086
P0649,0.12500762939453125,15.394240379333496
P0699,0.1341257095336914,18.55531120300293
P0806,0.39412689208984375,47.975823402404785
P1003,0.27384185791015625,32.45161151885986
P1029,0.45738697052001953,57.504140853881836
P1148,0.3159189224243164,28.91741180419922
P1158,0.19409942626953125,21.474711418151855
P1207,0.0,0.011689186096191406
P1216,0.0007047653198242188,0.3584108352661133
P1242,0.2265167236328125,21.538214683532715
P1358,0.615626335144043,59.27580547332764
P1522,0.3606901168823242,31.153409004211426
P1676,0.2308034896850586,22.492688179016113
P1693,0.2401285171508789,22.12448501586914
P1960,0.4984750747680664,58.270830154418945
P2002,0.4381093978881836,55.89514636993408
P2045,0.26651477813720703,32.47820568084717
P2210,0.5209541320800781,62.24712657928467
P2257,0.3838815689086914,46.15085506439209
P2278,0.27591800689697266,32.87467670440674
P2332,0.5925664901733398,59.698930740356445
P2352,0.6319646835327148,72.37860774993896
P2456,0.9147548675537109,113.33941459655762
P2528,0.5631771087646484,62.119483947753906
P2591,0.4682149887084961,59.5014591217041
P2613,0.29349708557128906,35.72324848175049
P2724,0.5687751770019531,58.66849899291992
P2754,0.6422691345214844,68.28765869140625
