class_id,class_name,n_gt_px,f_score
0,plane,64509,0.029026266327754624
1,ship,5474,0.014232139953556128
2,storage-tank,5526,0.029245812285915954
3,baseball-diamond,19516,0.01844563260552309
4,tennis-court,194379,0.0758155169701352
5,basketball-court,12744,0.04637187410220922
6,ground-track-field,29502,0.026692640217040712
7,harbor,140055,0.08666644786069547
8,bridge,7670,0.11735383245053202
9,large-vehicle,86840,0.06743138519872607
10,small-vehicle,115861,0.056479232401549506
11,helicopter,0,
12,roundabout,10922,0.028588712369640345
13,soccer-ball-field,27994,0.016066643456868507
14,swimming-pool,52001,0.093045009070899
