name,n_keypoints,mean_response
P0063,926,7.653795184865712e-06
P0081,764,6.306181468611069e-06
P0198,901,5.371763875878115e-06
P0308,187,5.354062747292702e-06
P0336,913,6.1126139602590536e-06
P0345,165,3.2741835830372358e-06
P0363,761,8.187984926697131e-06
P0368,464,5.484141745875618e-06
P0377,52,5.471213068102105e-06
P0452,841,1.0231259907935373e-05
P0517,966,1.3643150303971629e-05
P0565,538,5.300898339215394e-06
P0649,84,5.8779447764138805e-06
P0699,957,1.6488610430363845e-05
P0806,543,3.845263173980632e-06
P1003,626,4.264021334121732e-06
P1029,923,5.934848668116004e-06
P1148,1,2.0183731521683512e-06
P1158,1,1.1784187563534942e-06
P1207,0,0.0
P1216,0,0.0
P1242,37,2.1548669226407385e-06
P1358,186,1.5119420174533275e-06
P1522,11,1.1013466870611988e-06
P1676,0,0.0
P1693,0,0.0
P1960,1000,2.1327572661448356e-05
P2002,1000,1.3382070264469803e-05
P2045,498,5.342555693622412e-06
P2210,954,9.918105017927596e-06
P2257,622,3.6040376224350306e-06
P2278,559,4.104115364271012e-06
P2332,727,1.7117728695631585e-06
P2352,713,2.7074316113496998e-06
P2456,937,5.4339879954198155e-06
P2528,963,5.268370870211379e-06
P2591,735,5.5713490936267015e-06
P2613,979,1.6011340872520856e-05
P2724,802,1.7798814862511644e-06
P2754,832,2.2079844085053624e-06
