name,ods_threshold,ods_f_score
P0063,86,0.26342873548120577
P0081,27,0.07136032262645163
P0198,57,0.45953807849804457
P0308,20,0.09528331924796053
P0336,20,0.08718963658610618
P0345,57,0.0664518249178481
P0363,20,0.15416112695179485
P0368,20,0.16496696652406315
P0377,20,0.1124828375072017
P0452,27,0.03486932596168372
P0517,86,0.14720036062457684
P0565,49,0.11883133678438028
P0649,116,0.3612581872380833
P0699,20,0.06488745473120539
P0806,20,0.07149753513382218
P1003,94,0.06876961439252273
P1029,79,0.13221732152324978
P1148,20,0.0
P1158,20,0.0
P1207,27,1.0
P1216,20,0.0
P1242,20,0.033940072180396304
P1358,20,0.15649732064632518
P1522,20,0.020791075050709935
P1676,79,0.05150970129313152
P1693,153,1.0
P1960,20,0.29275249763087813
P2002,20,0.19410840233796658
P2045,20,0.12380014379118455
P2210,20,0.09269705185508292
P2257,20,0.10919701444311745
P2278,20,0.14839518913613897
P2332,34,0.06614872303139008
P2352,20,0.00794428144213249
P2456,20,0.00017701675401885316
P2528,20,0.024470549535616865
P2591,20,0.0970968392213626
P2613,20,0.13341111591915067
P2724,20,0.0
P2754,20,0.0
