class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,47,0.8912951705504898
1,ship,6,4,0.41666666666666663
2,storage-tank,15,7,0.31111111111111106
3,baseball-diamond,11,3,0.2727272727272727
4,tennis-court,87,74,0.8383038210624418
5,basketball-court,6,4,0.5
6,ground-track-field,9,1,0.1111111111111111
7,harbor,48,35,0.5959201388888887
8,bridge,10,7,0.7
9,large-vehicle,57,62,0.7702544229636993
10,small-vehicle,175,135,0.6746695559894066
11,helicopter,0,0,
12,roundabout,5,0,0.0
13,soccer-ball-field,7,2,0.2857142857142857
14,swimming-pool,64,4,0.0625
