class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,66,0.8519021739130435
1,ship,6,8,0.41666666666666663
2,storage-tank,15,5,0.3333333333333333
3,baseball-diamond,11,1,0.0
4,tennis-court,87,73,0.7687524397005476
5,basketball-court,6,1,0.16666666666666666
6,ground-track-field,9,0,0.0
7,harbor,48,96,0.5360088094334096
8,bridge,10,4,0.4
9,large-vehicle,57,84,0.7858671732668931
10,small-vehicle,175,134,0.5793840020622194
11,helicopter,0,0,
12,roundabout,5,1,0.0
13,soccer-ball-field,7,1,0.14285714285714285
14,swimming-pool,64,95,0.08497121710526316
