class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,44,0.8323412698412699
1,ship,6,5,0.41666666666666663
2,storage-tank,15,20,0.5867521367521367
3,baseball-diamond,11,2,0.18181818181818182
4,tennis-court,87,96,0.8937628543334356
5,basketball-court,6,2,0.3333333333333333
6,ground-track-field,9,4,0.3055555555555555
7,harbor,48,44,0.7495191251984731
8,bridge,10,6,0.6
9,large-vehicle,57,91,0.6787766375235329
10,small-vehicle,175,169,0.6811715185610251
11,helicopter,0,0,
12,roundabout,5,2,0.1
13,soccer-ball-field,7,4,0.42857142857142855
14,swimming-pool,64,4,0.0625
