name,ods_threshold,ods_f_score
P0063,220,0.22253332562272432
P0081,212,0.08353265620740827
P0198,160,0.3799822587988622
P0308,20,0.11132266494906089
P0336,205,0.08345474989532407
P0345,197,0.06404987794836427
P0363,101,0.2188961242765148
P0368,20,0.1572271604018695
P0377,20,0.129755717977934
P0452,20,0.06566700675970828
P0517,227,0.1777606334522147
P0565,212,0.09904600919439015
P0649,123,0.3565241312626426
P0699,20,0.10048503950931076
P0806,64,0.13563158031843134
P1003,227,0.1087098855484679
P1029,227,0.10102907226761264
P1148,20,0.04049237809053978
P1158,71,0.13793105406544653
P1207,20,1.0
P1216,20,0.3928763222639907
P1242,183,0.13439640197466513
P1358,160,0.15505658099681946
P1522,20,0.043577220053117635
P1676,20,0.022712162801275363
P1693,190,1.0
P1960,123,0.3266810407222028
P2002,20,0.20226458688448462
P2045,57,0.18893028883725602
P2210,190,0.14590671832745816
P2257,197,0.1248091420188901
P2278,205,0.1364359906120786
P2332,94,0.02868474876644458
P2352,175,0.0076006784026035
P2456,79,0.005621117553130093
P2528,160,0.027463935384078514
P2591,197,0.10457553448014359
P2613,205,0.2552383736642822
P2724,168,0.055982716769743146
P2754,27,0.0029332586360386165
