name,ods_threshold,ods_f_score
P0063,190,0.22575000164056266
P0081,153,0.08658478576376115
P0198,153,0.3894801406793034
P0308,34,0.12791898709952979
P0336,123,0.09360992164285817
P0345,168,0.06196898757537218
P0363,108,0.20333027499723627
P0368,49,0.1636730854899877
P0377,20,0.16509522972948584
P0452,20,0.06263640892322822
P0517,197,0.20243367973613133
P0565,168,0.10042367393757748
P0649,138,0.3152956479586847
P0699,34,0.10582278716467543
P0806,101,0.13051498901655634
P1003,197,0.11815507996103614
P1029,57,0.10713075143603018
P1148,20,0.04101997263743113
P1158,146,0.09148907571934037
P1207,49,1.0
P1216,86,0.23851735402761562
P1242,160,0.09728400750392269
P1358,153,0.11490687808124656
P1522,131,0.08212474477248566
P1676,27,0.012732693801011677
P1693,183,1.0
P1960,123,0.2830045678049951
P2002,42,0.18048843384006882
P2045,20,0.20313700648429317
P2210,175,0.11222416599127351
P2257,168,0.14194465623111074
P2278,183,0.11863270143915304
P2332,153,0.06466120285859964
P2352,146,0.006353158476993123
P2456,116,0.008067203519553052
P2528,101,0.030493029735934627
P2591,138,0.09591752165434884
P2613,168,0.1951974582941575
P2724,138,0.04447066757139807
P2754,20,0.0020855994220142144
