class_id,class_name,n_gt_px,f_score
0,plane,64509,0.06476617579721888
1,ship,5474,0.0576704619500911
2,storage-tank,5526,0.041064541455234436
3,baseball-diamond,19516,0.027856307607868707
4,tennis-court,194379,0.080212675818539
5,basketball-court,12744,0.0686774495548524
6,ground-track-field,29502,0.028212828304018663
7,harbor,140055,0.06841784558096993
8,bridge,7670,0.05290037076024218
9,large-vehicle,86840,0.05995685336948096
10,small-vehicle,115861,0.08269248636012311
11,helicopter,0,
12,roundabout,10922,0.03178709341446235
13,soccer-ball-field,27994,0.02914172234643081
14,swimming-pool,52001,0.07724877792502467
