class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,52,0.8847685185185185
1,ship,6,4,0.41666666666666663
2,storage-tank,15,23,0.8949749940462015
3,baseball-diamond,11,3,0.18181818181818182
4,tennis-court,87,86,0.9533388067870828
5,basketball-court,6,6,0.8333333333333334
6,ground-track-field,9,8,0.7777777777777778
7,harbor,48,43,0.7727721742619996
8,bridge,10,8,0.8
9,large-vehicle,57,79,0.7445545851967589
10,small-vehicle,175,150,0.6715494627600824
11,helicopter,0,0,
12,roundabout,5,2,0.4
13,soccer-ball-field,7,4,0.5714285714285714
14,swimming-pool,64,15,0.2104166666666667
