class_id,class_name,n_gt_px,f_score
0,plane,64509,0.08122842213996312
1,ship,5474,0.011104078797112837
2,storage-tank,5526,0.08860861152521976
3,baseball-diamond,19516,0.015181375958318677
4,tennis-court,194379,0.06745917837124223
5,basketball-court,12744,0.08543546561056659
6,ground-track-field,29502,0.01756987659532791
7,harbor,140055,0.0745318620552191
8,bridge,7670,0.06674978443199635
9,large-vehicle,86840,0.08548534607329009
10,small-vehicle,115861,0.14021793014466127
11,helicopter,0,
12,roundabout,10922,0.027484704476495814
13,soccer-ball-field,27994,0.02563157411761548
14,swimming-pool,52001,0.09362746084832352
