name,ods_threshold,ods_f_score
P0063,20,0.0
P0081,20,0.0
P0198,20,0.0
P0308,20,0.0
P0336,20,0.0
P0345,20,0.022498841296346293
P0363,20,0.0
P0368,20,0.0
P0377,20,0.0
P0452,20,0.0
P0517,20,0.09582936917142551
P0565,20,0.0
P0649,20,0.18021050604619235
P0699,20,0.0
P0806,20,0.0
P1003,20,0.0
P1029,20,0.0
P1148,20,0.0
P1158,20,0.0
P1207,20,1.0
P1216,20,0.0
P1242,20,0.0
P1358,20,0.0
P1522,20,0.05763226543025358
P1676,27,0.04827096420640398
P1693,86,1.0
P1960,20,0.0015869367742500353
P2002,20,0.016667698207582484
P2045,20,0.0
P2210,20,0.0
P2257,20,0.012993938557644073
P2278,20,0.02865360783695367
P2332,20,0.0
P2352,20,0.0
P2456,20,0.0
P2528,20,0.0
P2591,20,0.0
P2613,20,0.0
P2724,20,0.0
P2754,20,0.0
