class_id,class_name,n_gt_px,f_score
0,plane,64509,0.0
1,ship,5474,0.0
2,storage-tank,5526,0.06990317618315085
3,baseball-diamond,19516,0.010280093933852054
4,tennis-court,194379,0.0061175044639315635
5,basketball-court,12744,0.04191237641340905
6,ground-track-field,29502,0.0
7,harbor,140055,0.007142117008116779
8,bridge,7670,0.0
9,large-vehicle,86840,0.0030436918341162104
10,small-vehicle,115861,0.0
11,helicopter,0,
12,roundabout,10922,0.0
13,soccer-ball-field,27994,0.0
14,swimming-pool,52001,0.03678475061511584
