name,n_dets,mean_conf
P0063,33,0.44700393080711365
P0081,9,0.32160958647727966
P0198,11,0.448540598154068
P0308,6,0.41750454902648926
P0336,5,0.4658586382865906
P0345,6,0.3890569508075714
P0363,42,0.3994186818599701
P0368,40,0.3703990578651428
P0377,14,0.389880508184433
P0452,10,0.39922887086868286
P0517,32,0.3122371435165405
P0565,5,0.4687582552433014
P0649,0,0.0
P0699,20,0.5717110633850098
P0806,10,0.30634868144989014
P1003,13,0.4221380352973938
P1029,42,0.3637012541294098
P1148,0,0.0
P1158,1,0.43194884061813354
P1207,1,0.34252291917800903
P1216,0,0.0
P1242,0,0.0
P1358,1,0.45538580417633057
P1522,0,0.0
P1676,0,0.0
P1693,1,0.277397096157074
P1960,106,0.4538310766220093
P2002,59,0.5191912651062012
P2045,19,0.39535143971443176
P2210,36,0.7953650951385498
P2257,2,0.29835832118988037
P2278,10,0.3621974289417267
P2332,6,0.304208368062973
P2352,25,0.3081715703010559
P2456,24,0.38136279582977295
P2528,10,0.30698901414871216
P2591,8,0.323457807302475
P2613,40,0.43179744482040405
P2724,5,0.35040122270584106
P2754,6,0.35008347034454346
