name,ods_threshold,ods_f_score
P0063,205,0.17629645748889428
P0081,79,0.06803610038893135
P0198,116,0.25746620022002825
P0308,20,0.11292901177913059
P0336,160,0.09405466874108744
P0345,175,0.06315473520476678
P0363,138,0.18891240392560293
P0368,49,0.1547910851772307
P0377,27,0.08285619456346908
P0452,205,0.08161293576271333
P0517,197,0.19045451789043924
P0565,183,0.08005595214178783
P0649,146,0.2036386799356822
P0699,138,0.08499925462419136
P0806,175,0.08519093818773459
P1003,197,0.12538238155477624
P1029,190,0.18755186182382005
P1148,20,0.04572052728031086
P1158,168,0.07651524831757389
P1207,183,1.0
P1216,20,0.5378722689781099
P1242,175,0.23564163979062164
P1358,153,0.11378340424238473
P1522,123,0.028096240322120325
P1676,123,0.00464360286084268
P1693,220,1.0
P1960,146,0.2735541968324481
P2002,197,0.20637013180842986
P2045,20,0.17822617975568442
P2210,175,0.1275192449423049
P2257,49,0.1112383065368542
P2278,183,0.11198481894422838
P2332,168,0.023914905654680078
P2352,20,0.005211518421515322
P2456,101,0.005686767609786654
P2528,27,0.023021943646742444
P2591,27,0.1055577235107373
P2613,153,0.2030652705063863
P2724,183,0.05114549735824769
P2754,175,0.006277621534752913
