class_id,class_name,n_gt_px,f_score
0,plane,64509,0.054420117774399195
1,ship,5474,0.09630889075545881
2,storage-tank,5526,0.06833571064671873
3,baseball-diamond,19516,0.017584624502769028
4,tennis-court,194379,0.061772936773494255
5,basketball-court,12744,0.0513552016731286
6,ground-track-field,29502,0.019829827058909004
7,harbor,140055,0.07030763752103356
8,bridge,7670,0.05183717690914471
9,large-vehicle,86840,0.06990733711024912
10,small-vehicle,115861,0.08194497336624637
11,helicopter,0,
12,roundabout,10922,0.027254545152278722
13,soccer-ball-field,27994,0.020662141967851863
14,swimming-pool,52001,0.07531854083378078
