class_id,class_name,n_gt_px,f_score
0,plane,64509,0.06717005665855058
1,ship,5474,0.00628329469931203
2,storage-tank,5526,0.026990453613366418
3,baseball-diamond,19516,0.013633918191735941
4,tennis-court,194379,0.08158852485443954
5,basketball-court,12744,0.0787544358699513
6,ground-track-field,29502,0.024736501859520497
7,harbor,140055,0.06111315256952904
8,bridge,7670,0.07068050447353756
9,large-vehicle,86840,0.07635379224070293
10,small-vehicle,115861,0.1009708032129883
11,helicopter,0,
12,roundabout,10922,0.027752736893168945
13,soccer-ball-field,27994,0.027164174196277126
14,swimming-pool,52001,0.08249111304735664
