class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,45,0.8944229112833765
1,ship,6,9,0.3222222222222222
2,storage-tank,15,5,0.3333333333333333
3,baseball-diamond,11,1,0.09090909090909091
4,tennis-court,87,67,0.7323758363355636
5,basketball-court,6,0,0.0
6,ground-track-field,9,2,0.2222222222222222
7,harbor,48,41,0.6473504236411846
8,bridge,10,0,0.0
9,large-vehicle,57,82,0.6270359085658608
10,small-vehicle,175,127,0.5356991462363504
11,helicopter,0,0,
12,roundabout,5,1,0.2
13,soccer-ball-field,7,3,0.23809523809523808
14,swimming-pool,64,7,0.109375
