name,n_keypoints,mean_response
P0063,1000,0.0026833142977557146
P0081,1000,0.002106333039504534
P0198,1000,0.002036237430234905
P0308,1000,0.000731797487467702
P0336,1000,0.0024576537080865817
P0345,1000,0.0006362201348874805
P0363,1000,0.002723800371604739
P0368,1000,0.001449583384943253
P0377,1000,0.00027270614583494536
P0452,1000,0.003341885154877673
P0517,1000,0.004759181165980408
P0565,1000,0.001496071640671289
P0649,1000,0.0003320904242752931
P0699,1000,0.006104522529174573
P0806,1000,0.0011276393955777166
P1003,1000,0.0013886588834429857
P1029,1000,0.0022404791708104314
P1148,810,2.4940457643939114e-05
P1158,1000,1.5504386328757392e-05
P1207,637,4.697058687497345e-06
P1216,662,5.768991511793266e-06
P1242,991,8.449015003400688e-05
P1358,1000,0.0002464353227733227
P1522,1000,0.00011542241700908562
P1676,976,1.1118930287878005e-05
P1693,929,1.8519162871372232e-05
P1960,1000,0.007150241183349863
P2002,1000,0.004890932630514726
P2045,1000,0.0014243533570770523
P2210,1000,0.003663226325850701
P2257,1000,0.0012590892550142598
P2278,1000,0.0013202253699855647
P2332,1000,0.0007368187424726784
P2352,1000,0.0009912979055661708
P2456,1000,0.0020592891173728278
P2528,1000,0.0020136862327344717
P2591,1000,0.0018168424356699688
P2613,1000,0.005529660981206689
P2724,1000,0.0006938545405428158
P2754,1000,0.0008667382131679915
