class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,45,0.8513257575757575
1,ship,6,12,0.41666666666666663
2,storage-tank,15,16,0.484090909090909
3,baseball-diamond,11,0,0.0
4,tennis-court,87,149,0.7837909434372837
5,basketball-court,6,2,0.3333333333333333
6,ground-track-field,9,2,0.05555555555555555
7,harbor,48,45,0.6813616241070071
8,bridge,10,2,0.2
9,large-vehicle,57,80,0.6503626690394889
10,small-vehicle,175,164,0.6573146491914842
11,helicopter,0,0,
12,roundabout,5,0,0.0
13,soccer-ball-field,7,2,0.14285714285714285
14,swimming-pool,64,2,0.03125
