name,n_dets,mean_conf
P0063,18,0.4263262152671814
P0081,0,0.0
P0198,9,0.5344385504722595
P0308,1,0.3186955451965332
P0336,8,0.6017280220985413
P0345,1,0.3602399230003357
P0363,16,0.6448688507080078
P0368,5,0.6334051489830017
P0377,1,0.7477171421051025
P0452,1,0.9193788766860962
P0517,6,0.5716444253921509
P0565,4,0.46981802582740784
P0649,0,0.0
P0699,11,0.7468727231025696
P0806,5,0.5463279485702515
P1003,7,0.6050373315811157
P1029,19,0.5728710293769836
P1148,1,0.4102725684642792
P1158,0,0.0
P1207,0,0.0
P1216,0,0.0
P1242,3,0.6693572998046875
P1358,0,0.0
P1522,0,0.0
P1676,0,0.0
P1693,0,0.0
P1960,70,0.6181328296661377
P2002,35,0.7517144083976746
P2045,18,0.5572454929351807
P2210,36,0.7570095062255859
P2257,10,0.39496201276779175
P2278,2,0.47135239839553833
P2332,1,0.3131508231163025
P2352,1,0.2757694125175476
P2456,0,0.0
P2528,0,0.0
P2591,0,0.0
P2613,35,0.662693977355957
P2724,0,0.0
P2754,0,0.0
