class_id,class_name,n_gt_px,f_score
0,plane,64509,0.08542553905990587
1,ship,5474,0.009278666381025293
2,storage-tank,5526,0.08647157170904031
3,baseball-diamond,19516,0.013159962767020496
4,tennis-court,194379,0.06652889942234896
5,basketball-court,12744,0.07688916946537243
6,ground-track-field,29502,0.02803261284716194
7,harbor,140055,0.06516054940293331
8,bridge,7670,0.07084052772663531
9,large-vehicle,86840,0.09306278295669335
10,small-vehicle,115861,0.13061183259230316
11,helicopter,0,
12,roundabout,10922,0.03948659087087625
13,soccer-ball-field,27994,0.02598404421462696
14,swimming-pool,52001,0.08911421561412708
