name,edge_pixel_frac,mean_response
P0063,0.5979948043823242,80.63930130004883
P0081,0.1737213134765625,23.227642059326172
P0198,0.34766292572021484,42.25498390197754
P0308,0.08605480194091797,10.730599403381348
P0336,0.15012550354003906,20.300630569458008
P0345,0.08539867401123047,10.00868034362793
P0363,0.16503143310546875,20.80551815032959
P0368,0.15732574462890625,18.994641304016113
P0377,0.05991554260253906,7.421017646789551
P0452,0.2500419616699219,32.122694969177246
P0517,0.36668872833251953,48.9302864074707
P0565,0.10619449615478516,12.227655410766602
P0649,0.05916309356689453,6.9411163330078125
P0699,0.10145092010498047,14.919158935546875
P0806,0.21055126190185547,24.962722778320312
P1003,0.1414775848388672,17.421486854553223
P1029,0.2940235137939453,38.15983486175537
P1148,0.03797340393066406,3.928776741027832
P1158,0.03283500671386719,3.0822925567626953
P1207,0.0,0.0
P1216,0.0,0.00028133392333984375
P1242,0.02091217041015625,2.2130308151245117
P1358,0.07567596435546875,7.842870712280273
P1522,0.012331962585449219,1.4320287704467773
P1676,0.00048351287841796875,0.08641815185546875
P1693,0.000156402587890625,0.019242286682128906
P1960,0.23787593841552734,32.65261173248291
P2002,0.33051013946533203,44.93765354156494
P2045,0.17731285095214844,21.580425262451172
P2210,0.2773590087890625,35.23153305053711
P2257,0.19940185546875,24.645938873291016
P2278,0.1248922348022461,14.798723220825195
P2332,0.168853759765625,17.43017578125
P2352,0.19181251525878906,21.25240135192871
P2456,0.6691160202026367,81.48840618133545
P2528,0.20617389678955078,23.14029312133789
P2591,0.2931175231933594,38.20674800872803
P2613,0.18813133239746094,25.482131004333496
P2724,0.10912704467773438,11.53825855255127
P2754,0.4588737487792969,49.59599685668945
