class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,44,0.8100278274696879
1,ship,6,19,0.36111111111111116
2,storage-tank,15,6,0.26666666666666666
3,baseball-diamond,11,0,0.0
4,tennis-court,87,117,0.335698005417099
5,basketball-court,6,0,0.0
6,ground-track-field,9,0,0.0
7,harbor,48,36,0.5605008417508418
8,bridge,10,0,0.0
9,large-vehicle,57,72,0.5883368888039823
10,small-vehicle,175,146,0.6162124753673822
11,helicopter,0,1,0.0
12,roundabout,5,0,0.0
13,soccer-ball-field,7,1,0.14285714285714285
14,swimming-pool,64,2,0.03125
