name,n_keypoints,mean_response
P0063,1000,0.002731806406081887
P0081,1000,0.0021456378433504144
P0198,1000,0.0020624045009899417
P0308,1000,0.0007884805325375055
P0336,1000,0.0025185141524998473
P0345,1000,0.0006464188483732869
P0363,1000,0.002784677149506024
P0368,1000,0.00147864280151407
P0377,1000,0.00028631782916090743
P0452,1000,0.0033475244854926133
P0517,1000,0.0047628072598599825
P0565,1000,0.0015472582306028926
P0649,1000,0.00033633039781193473
P0699,1000,0.006159811696154065
P0806,1000,0.001220056635022047
P1003,1000,0.0014356334049953148
P1029,1000,0.0023265880834369454
P1148,1000,3.788727952428417e-05
P1158,1000,3.270636100205593e-05
P1207,697,8.170116716190987e-06
P1216,711,1.005411206066127e-05
P1242,1000,0.00010329480310110739
P1358,1000,0.0002924064597682445
P1522,1000,0.00014365780065236323
P1676,986,1.7197046898867942e-05
P1693,947,2.5079568725633297e-05
P1960,1000,0.007184264084673487
P2002,1000,0.004905907480278983
P2045,1000,0.0015288754601788242
P2210,1000,0.0037799979650881142
P2257,1000,0.0012479867655129056
P2278,1000,0.0013498373154434376
P2332,1000,0.0007816270114562939
P2352,1000,0.0010151792178294272
P2456,1000,0.0020505919203860686
P2528,1000,0.001997504360508174
P2591,1000,0.0018250023028667784
P2613,1000,0.005528575505391927
P2724,1000,0.00076750667487795
P2754,1000,0.0009118077331513632
