class_id,class_name,n_gt_px,f_score
0,plane,64509,0.08250867605379009
1,ship,5474,0.008545378760342512
2,storage-tank,5526,0.15491539298213028
3,baseball-diamond,19516,0.013131941449482923
4,tennis-court,194379,0.07948898432705588
5,basketball-court,12744,0.1021899574621644
6,ground-track-field,29502,0.018003822142140948
7,harbor,140055,0.07300083397754263
8,bridge,7670,0.1766396984980336
9,large-vehicle,86840,0.08017491059625048
10,small-vehicle,115861,0.12562146447823896
11,helicopter,0,
12,roundabout,10922,0.031917363311421074
13,soccer-ball-field,27994,0.026956624925372152
14,swimming-pool,52001,0.08650348331113432
