distortion,level,level_numeric,snr_db_mean,name,ods_threshold,ods_f_score,snr_db
haze,0.5,0.5,3.141872703484021,P0063,212,0.2090052892002021,7.361264308432491
haze,0.5,0.5,3.141872703484021,P0081,86,0.0770892262804927,0.9446912496363596
haze,0.5,0.5,3.141872703484021,P0198,160,0.3796941799151361,3.176009121557682
haze,0.5,0.5,3.141872703484021,P0308,20,0.1080129449059938,1.228742500895043
haze,0.5,0.5,3.141872703484021,P0336,205,0.0862105335250782,-1.5472183248018336
haze,0.5,0.5,3.141872703484021,P0345,197,0.0596229751633479,0.6465847800752185
haze,0.5,0.5,3.141872703484021,P0363,42,0.1954679067435073,0.8085359916268149
haze,0.5,0.5,3.141872703484021,P0368,20,0.1443694697904812,1.3058336094557883
haze,0.5,0.5,3.141872703484021,P0377,20,0.1054268178415242,-0.328251922167334
haze,0.5,0.5,3.141872703484021,P0452,20,0.0668146154419913,2.8311158182432843
haze,0.5,0.5,3.141872703484021,P0517,227,0.1643173264400804,1.5060505474727128
haze,0.5,0.5,3.141872703484021,P0565,220,0.0895992070044254,-1.886576095549367
haze,0.5,0.5,3.141872703484021,P0649,116,0.3269839042364559,-1.0958142314075023
haze,0.5,0.5,3.141872703484021,P0699,20,0.0958475806961685,0.832006944063308
haze,0.5,0.5,3.141872703484021,P0806,153,0.1322937689678437,5.423615042986257
haze,0.5,0.5,3.141872703484021,P1003,227,0.1119909093456526,-3.075865534098758
haze,0.5,0.5,3.141872703484021,P1029,227,0.1153424144644671,1.454232482125319
haze,0.5,0.5,3.141872703484021,P1148,20,0.0170503573485138,5.410271500105494
haze,0.5,0.5,3.141872703484021,P1158,57,0.181450636557225,1.8773512275205817
haze,0.5,0.5,3.141872703484021,P1207,42,1.0,15.350956011368332
haze,0.5,0.5,3.141872703484021,P1216,34,0.4378355178447621,14.90694668235479
haze,0.5,0.5,3.141872703484021,P1242,220,0.0914664554059125,7.927859820929124
haze,0.5,0.5,3.141872703484021,P1358,168,0.1608111641948343,6.387151597018584
haze,0.5,0.5,3.141872703484021,P1522,49,0.1050648572301296,0.6740611305126085
haze,0.5,0.5,3.141872703484021,P1676,42,0.01821695562788,6.239809160173539
haze,0.5,0.5,3.141872703484021,P1693,205,1.0,2.2659924574835646
haze,0.5,0.5,3.141872703484021,P1960,101,0.2926212441836477,1.0804351413983797
haze,0.5,0.5,3.141872703484021,P2002,20,0.1912605647397093,4.860032409218513
haze,0.5,0.5,3.141872703484021,P2045,20,0.1928841434126819,-2.115071220323782
haze,0.5,0.5,3.141872703484021,P2210,212,0.1445621684396771,7.906267167456884
haze,0.5,0.5,3.141872703484021,P2257,212,0.1374109167035828,-0.3082821267200897
haze,0.5,0.5,3.141872703484021,P2278,205,0.105157986313343,5.838380669868601
haze,0.5,0.5,3.141872703484021,P2332,146,0.0392876712089776,5.9761552615503435
haze,0.5,0.5,3.141872703484021,P2352,146,0.006374364708645,3.965478989544693
haze,0.5,0.5,3.141872703484021,P2456,220,0.0104296470540138,2.9845441851226093
haze,0.5,0.5,3.141872703484021,P2528,175,0.0443061491169425,2.2747921538620504
haze,0.5,0.5,3.141872703484021,P2591,183,0.101933324550252,2.9597437639520887
haze,0.5,0.5,3.141872703484021,P2613,205,0.2105347103414501,-2.371584975023479
haze,0.5,0.5,3.141872703484021,P2724,183,0.0465725608773593,4.913293274855296
haze,0.5,0.5,3.141872703484021,P2754,138,0.0013241248878826,7.085367568586637
haze,1.0,1.0,-1.0077252033553779,P0063,212,0.2116409539868817,3.2152907323175235
haze,1.0,1.0,-1.0077252033553779,P0081,168,0.0786404214200858,-3.1948242776147207
haze,1.0,1.0,-1.0077252033553779,P0198,160,0.3836042936372524,-0.9654949811926768
haze,1.0,1.0,-1.0077252033553779,P0308,20,0.1105640862433098,-2.9190371885040136
haze,1.0,1.0,-1.0077252033553779,P0336,197,0.0872763187265517,-5.685767931132608
haze,1.0,1.0,-1.0077252033553779,P0345,205,0.060376592139721,-3.499576451740745
haze,1.0,1.0,-1.0077252033553779,P0363,57,0.1922472843423653,-3.339195950882639
haze,1.0,1.0,-1.0077252033553779,P0368,20,0.1470999318670975,-2.839968472432817
haze,1.0,1.0,-1.0077252033553779,P0377,20,0.1136865972380691,-4.45875790958379
haze,1.0,1.0,-1.0077252033553779,P0452,20,0.0663555994215337,-1.306448816763698
haze,1.0,1.0,-1.0077252033553779,P0517,227,0.1779451512514215,-2.6337791285198087
haze,1.0,1.0,-1.0077252033553779,P0565,212,0.0928092091067027,-6.024823907121242
haze,1.0,1.0,-1.0077252033553779,P0649,123,0.3261703514945172,-5.212375653973553
haze,1.0,1.0,-1.0077252033553779,P0699,27,0.0938545553662054,-3.286180707927388
haze,1.0,1.0,-1.0077252033553779,P0806,197,0.1335208864899814,1.2793212425153024
haze,1.0,1.0,-1.0077252033553779,P1003,220,0.1125538757400203,-7.224242106734896
haze,1.0,1.0,-1.0077252033553779,P1029,220,0.1175402249517989,-2.6859680983951346
haze,1.0,1.0,-1.0077252033553779,P1148,20,0.0224985533872411,1.2663023037089949
haze,1.0,1.0,-1.0077252033553779,P1158,64,0.1675509456759754,-2.263395040683667
haze,1.0,1.0,-1.0077252033553779,P1207,27,1.0,11.096570809192324
haze,1.0,1.0,-1.0077252033553779,P1216,42,0.5005456529647144,10.626127382201172
haze,1.0,1.0,-1.0077252033553779,P1242,220,0.0898414699633443,3.7656718704473113
haze,1.0,1.0,-1.0077252033553779,P1358,168,0.1591947638572477,2.2343840047325108
haze,1.0,1.0,-1.0077252033553779,P1522,57,0.1038655204835379,-3.4716154371810086
haze,1.0,1.0,-1.0077252033553779,P1676,57,0.018144100889559,2.0568380606665446
haze,1.0,1.0,-1.0077252033553779,P1693,205,1.0,-1.9092666431754388
haze,1.0,1.0,-1.0077252033553779,P1960,101,0.2855100304361554,-3.059641652799325
haze,1.0,1.0,-1.0077252033553779,P2002,20,0.1892658832430108,0.7178100141676964
haze,1.0,1.0,-1.0077252033553779,P2045,20,0.1922641236203576,-6.2623796195255474
haze,1.0,1.0,-1.0077252033553779,P2210,212,0.147728895378999,3.757887282384336
haze,1.0,1.0,-1.0077252033553779,P2257,212,0.1400614052201771,-4.431120678661079
haze,1.0,1.0,-1.0077252033553779,P2278,220,0.1070233899130826,1.6961726678617888
haze,1.0,1.0,-1.0077252033553779,P2332,146,0.0395190521717434,1.8305272220529856
haze,1.0,1.0,-1.0077252033553779,P2352,146,0.0064771302600121,-0.1780756366915568
haze,1.0,1.0,-1.0077252033553779,P2456,220,0.0116196506472851,-1.1572081101382818
haze,1.0,1.0,-1.0077252033553779,P2528,168,0.0429674576844204,-1.86609036829008
haze,1.0,1.0,-1.0077252033553779,P2591,183,0.101886594741805,-1.1835231932628774
haze,1.0,1.0,-1.0077252033553779,P2613,197,0.2035315814130571,-6.50277438202946
haze,1.0,1.0,-1.0077252033553779,P2724,183,0.0467963435308104,0.769638618008045
