distortion,level,level_numeric,snr_db_mean,class_id,class_name,n_gt,n_pred,ap_iou50
haze,3.0,3.0,-4.564046168308607,4,tennis-court,87,84,0.941555677187861
haze,3.0,3.0,-4.564046168308607,5,basketball-court,6,4,0.5
haze,3.0,3.0,-4.564046168308607,6,ground-track-field,9,5,0.5555555555555556
haze,3.0,3.0,-4.564046168308607,7,harbor,48,42,0.6840335381464414
haze,3.0,3.0,-4.564046168308607,8,bridge,10,7,0.7
haze,3.0,3.0,-4.564046168308607,9,large-vehicle,57,81,0.7426743660964663
haze,3.0,3.0,-4.564046168308607,10,small-vehicle,175,133,0.6210995526796214
haze,3.0,3.0,-4.564046168308607,11,helicopter,0,0,
haze,3.0,3.0,-4.564046168308607,12,roundabout,5,1,0.2
haze,3.0,3.0,-4.564046168308607,13,soccer-ball-field,7,3,0.2857142857142857
haze,3.0,3.0,-4.564046168308607,14,swimming-pool,64,14,0.1802884615384615
jpeg,1,1.0,14.156771236721948,0,plane,48,57,0.9118827160493828
jpeg,1,1.0,14.156771236721948,1,ship,6,15,0.3492063492063492
jpeg,1,1.0,14.156771236721948,2,storage-tank,15,2,0.0333333333333333
jpeg,1,1.0,14.156771236721948,3,baseball-diamond,11,0,0.0
jpeg,1,1.0,14.156771236721948,4,tennis-court,87,18,0.2068965517241379
jpeg,1,1.0,14.156771236721948,5,basketball-court,6,0,0.0
jpeg,1,1.0,14.156771236721948,6,ground-track-field,9,0,0.0
jpeg,1,1.0,14.156771236721948,7,harbor,48,33,0.3497235849537289
jpeg,1,1.0,14.156771236721948,8,bridge,10,5,0.38
jpeg,1,1.0,14.156771236721948,9,large-vehicle,57,54,0.7241046302398811
jpeg,1,1.0,14.156771236721948,10,small-vehicle,175,61,0.3004831787260358
jpeg,1,1.0,14.156771236721948,11,helicopter,0,0,
jpeg,1,1.0,14.156771236721948,12,roundabout,5,0,0.0
jpeg,1,1.0,14.156771236721948,13,soccer-ball-field,7,0,0.0
jpeg,1,1.0,14.156771236721948,14,swimming-pool,64,233,0.0109273192551278
jpeg,3,3.0,14.437534838522705,0,plane,48,48,0.8934539190353145
jpeg,3,3.0,14.437534838522705,1,ship,6,8,0.2916666666666666
jpeg,3,3.0,14.437534838522705,2,storage-tank,15,5,0.1511111111111111
