distortion,level,level_numeric,snr_db_mean,name,snr_db,n_clean_kp,n_stage_kp,n_good,good_ratio
haze,0.5,0.5,3.141872703484021,P0063,7.361264308432491,1000,1000,804,0.804
haze,0.5,0.5,3.141872703484021,P0081,0.9446912496363596,1000,1000,568,0.568
haze,0.5,0.5,3.141872703484021,P0198,3.176009121557682,1000,1000,759,0.759
haze,0.5,0.5,3.141872703484021,P0308,1.228742500895043,1000,1000,581,0.581
haze,0.5,0.5,3.141872703484021,P0336,-1.5472183248018336,1000,1000,852,0.852
haze,0.5,0.5,3.141872703484021,P0345,0.6465847800752185,1000,1000,636,0.636
haze,0.5,0.5,3.141872703484021,P0363,0.8085359916268149,1000,1000,556,0.556
haze,0.5,0.5,3.141872703484021,P0368,1.3058336094557883,1000,1000,576,0.576
haze,0.5,0.5,3.141872703484021,P0377,-0.328251922167334,1000,1000,407,0.407
haze,0.5,0.5,3.141872703484021,P0452,2.8311158182432843,1000,1000,767,0.767
haze,0.5,0.5,3.141872703484021,P0517,1.5060505474727128,1000,1000,734,0.734
haze,0.5,0.5,3.141872703484021,P0565,-1.886576095549367,1000,1000,858,0.858
haze,0.5,0.5,3.141872703484021,P0649,-1.0958142314075023,1000,1000,389,0.389
haze,0.5,0.5,3.141872703484021,P0699,0.832006944063308,1000,1000,339,0.339
haze,0.5,0.5,3.141872703484021,P0806,5.423615042986257,1000,1000,517,0.517
haze,0.5,0.5,3.141872703484021,P1003,-3.075865534098758,1000,1000,842,0.842
haze,0.5,0.5,3.141872703484021,P1029,1.454232482125319,1000,1000,734,0.734
haze,0.5,0.5,3.141872703484021,P1148,5.410271500105494,417,565,218,0.5227817745803357
haze,0.5,0.5,3.141872703484021,P1158,1.8773512275205817,939,939,574,0.6112886048988285
haze,0.5,0.5,3.141872703484021,P1207,15.350956011368332,93,748,79,0.8494623655913979
haze,0.5,0.5,3.141872703484021,P1216,14.90694668235479,155,863,144,0.9290322580645162
haze,0.5,0.5,3.141872703484021,P1242,7.927859820929124,1000,1000,598,0.598
haze,0.5,0.5,3.141872703484021,P1358,6.387151597018584,1000,1000,719,0.719
haze,0.5,0.5,3.141872703484021,P1522,0.6740611305126085,1000,1000,749,0.749
haze,0.5,0.5,3.141872703484021,P1676,6.239809160173539,536,920,416,0.7761194029850746
haze,0.5,0.5,3.141872703484021,P1693,2.2659924574835646,825,798,528,0.6616541353383458
haze,0.5,0.5,3.141872703484021,P1960,1.0804351413983797,1000,1000,833,0.833
haze,0.5,0.5,3.141872703484021,P2002,4.860032409218513,1000,1000,673,0.673
