class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,50,0.8691392770876467
1,ship,6,9,0.8333333333333334
2,storage-tank,15,12,0.5757575757575758
3,baseball-diamond,11,11,0.7272727272727273
4,tennis-court,87,95,0.9301934398654331
5,basketball-court,6,0,0.0
6,ground-track-field,9,8,0.4074074074074074
7,harbor,48,41,0.7056853254769921
8,bridge,10,9,0.8
9,large-vehicle,57,112,0.6633646806840447
10,small-vehicle,175,78,0.40514318822515544
11,helicopter,0,0,
12,roundabout,5,7,0.2
13,soccer-ball-field,7,8,0.48571428571428565
14,swimming-pool,64,9,0.1232638888888889
