class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,52,0.8899199381536338
1,ship,6,5,0.3222222222222222
2,storage-tank,15,9,0.5259259259259259
3,baseball-diamond,11,8,0.7272727272727273
4,tennis-court,87,73,0.7931034482758621
5,basketball-court,6,3,0.5
6,ground-track-field,9,5,0.5555555555555556
7,harbor,48,45,0.8128986646428507
8,bridge,10,10,0.8
9,large-vehicle,57,74,0.7588632785840238
10,small-vehicle,175,119,0.5850127255812528
11,helicopter,0,0,
12,roundabout,5,1,0.2
13,soccer-ball-field,7,2,0.2857142857142857
14,swimming-pool,64,8,0.041666666666666664
