class_id,class_name,n_gt_px,f_score
0,plane,64509,0.05839503287547152
1,ship,5474,0.013408106315390104
2,storage-tank,5526,0.03238782752278067
3,baseball-diamond,19516,0.02824492840268024
4,tennis-court,194379,0.09020987853089832
5,basketball-court,12744,0.09487907315044582
6,ground-track-field,29502,0.021173460364271618
7,harbor,140055,0.07220815945656942
8,bridge,7670,0.07153514827989599
9,large-vehicle,86840,0.07414147178888528
10,small-vehicle,115861,0.08144762160231592
11,helicopter,0,
12,roundabout,10922,0.02525751556596534
13,soccer-ball-field,27994,0.025348457749695234
14,swimming-pool,52001,0.07911722534734786
