name,n_keypoints,mean_response
P0063,1000,0.0008374908374680672
P0081,1000,0.00078144975444593
P0198,1000,0.000673211580447969
P0308,969,0.00022890009005087188
P0336,1000,0.0011483660160884028
P0345,1000,0.00013455327488554758
P0363,1000,0.0012835866273344437
P0368,1000,0.000470206198249798
P0377,647,6.0766943796375166e-05
P0452,1000,0.0012997729488415644
P0517,1000,0.0023055768374179025
P0565,1000,0.0005275422767481359
P0649,543,6.11434940480999e-05
P0699,1000,0.003946856251684948
P0806,1000,0.0002746998773982341
P1003,1000,0.00039353895732347155
P1029,1000,0.0008803927354456391
P1148,220,7.089943709517725e-05
P1158,236,2.2514707481491314e-05
P1207,4,8.965297766394542e-07
P1216,0,0.0
P1242,291,2.43639803767591e-05
P1358,864,3.067318624908158e-05
P1522,618,6.487086029871113e-05
P1676,117,9.327740080838588e-06
P1693,174,1.6849575590496856e-05
P1960,1000,0.004731725896243006
P2002,1000,0.0030663453799206764
P2045,1000,0.00036264410134390345
P2210,1000,0.001490501353138825
P2257,1000,0.00029571763339845345
P2278,1000,0.00034871566527726826
P2332,1000,0.00024809249471582006
P2352,1000,0.00018157346090083592
P2456,1000,0.0007643954195373226
P2528,1000,0.0008532697201299015
P2591,1000,0.0005641082205474959
P2613,1000,0.0028705614561913536
P2724,1000,0.0001796805426965875
P2754,1000,0.00033009683142518043
