class_id,class_name,n_gt_px,f_score
0,plane,64509,0.04852159036421613
1,ship,5474,0.007654341545093833
2,storage-tank,5526,0.01845446188980095
3,baseball-diamond,19516,0.03235938555604424
4,tennis-court,194379,0.07559947852630239
5,basketball-court,12744,0.06296194188473962
6,ground-track-field,29502,0.02198747520434522
7,harbor,140055,0.08135391787352861
8,bridge,7670,0.058524422123708
9,large-vehicle,86840,0.0699707577327532
10,small-vehicle,115861,0.07165309782457527
11,helicopter,0,
12,roundabout,10922,0.023646405612656702
13,soccer-ball-field,27994,0.025169173873491556
14,swimming-pool,52001,0.07527960312652371
