name,edge_pixel_frac,mean_response
P0063,0.6674032211303711,96.08420944213867
P0081,0.2073526382446289,29.763237953186035
P0198,0.44565773010253906,61.912954330444336
P0308,0.1720905303955078,23.634943962097168
P0336,0.21474933624267578,31.13715648651123
P0345,0.20792865753173828,27.135940551757812
P0363,0.26702022552490234,33.89495086669922
P0368,0.3175210952758789,39.85911273956299
P0377,0.13379859924316406,15.934762954711914
P0452,0.30618953704833984,42.08847522735596
P0517,0.4849052429199219,70.51281642913818
P0565,0.18951034545898438,24.443382263183594
P0649,0.11325359344482422,14.72578239440918
P0699,0.12230205535888672,18.38501739501953
P0806,0.3413677215576172,45.00222969055176
P1003,0.2213277816772461,29.30390453338623
P1029,0.3747892379760742,52.055121421813965
P1148,0.10079765319824219,12.150734901428223
P1158,0.1303577423095703,14.82223129272461
P1207,0.0,0.0756216049194336
P1216,0.0008955001831054688,0.2868680953979492
P1242,0.21102523803710938,20.517131805419922
P1358,0.5369167327880859,53.270750999450684
P1522,0.2554616928100586,23.835139274597168
P1676,0.24623489379882812,23.773003578186035
P1693,0.156280517578125,16.23176860809326
P1960,0.3619356155395508,48.50893306732178
P2002,0.40526580810546875,55.85581398010254
P2045,0.22475719451904297,30.402267456054688
P2210,0.44590282440185547,58.19080829620361
P2257,0.31069087982177734,41.47895908355713
P2278,0.25612831115722656,32.02616786956787
P2332,0.5179958343505859,54.523582458496094
P2352,0.5579385757446289,67.7256669998169
P2456,0.8078994750976562,105.59878253936768
P2528,0.42121219635009766,51.22837543487549
P2591,0.3828306198120117,55.238511085510254
P2613,0.24133968353271484,32.69373416900635
P2724,0.5879545211791992,62.335795402526855
P2754,0.559687614440918,60.98920249938965
