class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,45,0.8953598484848485
1,ship,6,4,0.6666666666666666
2,storage-tank,15,16,0.8666666666666667
3,baseball-diamond,11,9,0.7272727272727273
4,tennis-court,87,86,0.9534755655481968
5,basketball-court,6,5,0.8333333333333334
6,ground-track-field,9,8,0.7638888888888888
7,harbor,48,43,0.7893683862433862
8,bridge,10,9,0.9
9,large-vehicle,57,75,0.6949584523831759
10,small-vehicle,175,123,0.6365603497895932
11,helicopter,0,0,
12,roundabout,5,2,0.2
13,soccer-ball-field,7,4,0.5714285714285714
14,swimming-pool,64,10,0.125
