name,n_dets,mean_conf
P0063,0,0.0
P0081,0,0.0
P0198,0,0.0
P0308,2,0.3792417645454407
P0336,0,0.0
P0345,0,0.0
P0363,2,0.459527850151062
P0368,2,0.5609740018844604
P0377,1,0.40019357204437256
P0452,2,0.47860926389694214
P0517,4,0.287882924079895
P0565,4,0.3919527232646942
P0649,0,0.0
P0699,6,0.39107081294059753
P0806,0,0.0
P1003,0,0.0
P1029,1,0.31348156929016113
P1148,1,0.48463761806488037
P1158,0,0.0
P1207,0,0.0
P1216,0,0.0
P1242,0,0.0
P1358,0,0.0
P1522,1,0.382305771112442
P1676,0,0.0
P1693,0,0.0
P1960,7,0.3661971092224121
P2002,2,0.3262380361557007
P2045,1,0.2611333727836609
P2210,1,0.7190842628479004
P2257,1,0.3819383978843689
P2278,2,0.29849907755851746
P2332,0,0.0
P2352,0,0.0
P2456,1,0.33044731616973877
P2528,1,0.43620237708091736
P2591,0,0.0
P2613,7,0.33245226740837097
P2724,2,0.300112783908844
P2754,1,0.2893659472465515
