class_id,class_name,n_gt_px,f_score
0,plane,64509,0.017823881953003162
1,ship,5474,0.011038261556995773
2,storage-tank,5526,0.06130683012128856
3,baseball-diamond,19516,0.013180519313450042
4,tennis-court,194379,0.05100888858061629
5,basketball-court,12744,0.0764663439190943
6,ground-track-field,29502,0.012331608769718056
7,harbor,140055,0.08513588696416016
8,bridge,7670,0.02139261070273922
9,large-vehicle,86840,0.07524319755453172
10,small-vehicle,115861,0.03929309018655812
11,helicopter,0,
12,roundabout,10922,0.03832666271632467
13,soccer-ball-field,27994,0.0061425151335410474
14,swimming-pool,52001,0.10477668841244822
