name,n_keypoints,mean_response
P0063,312,1.4107162762172356e-06
P0081,106,2.405287049181991e-06
P0198,108,1.337018328544875e-06
P0308,26,1.686551055531009e-06
P0336,125,1.7081789312669572e-06
P0345,6,9.625703114579665e-07
P0363,122,2.2234276051486617e-06
P0368,35,1.9894898879816278e-06
P0377,10,2.2242383863613213e-06
P0452,294,1.745035315546492e-06
P0517,552,1.9982222228953144e-06
P0565,74,1.8215902442178148e-06
P0649,22,1.8640100165612239e-06
P0699,473,2.7491841707813145e-06
P0806,39,1.6688938386230288e-06
P1003,55,1.5936071959417446e-06
P1029,136,1.4944310648575885e-06
P1148,0,0.0
P1158,0,0.0
P1207,0,0.0
P1216,0,0.0
P1242,3,7.278021551352746e-07
P1358,8,5.088249910301101e-07
P1522,0,0.0
P1676,0,0.0
P1693,0,0.0
P1960,922,2.8388964857267656e-06
P2002,644,1.9166062070862667e-06
P2045,37,1.8043618458582263e-06
P2210,384,1.8074497448357836e-06
P2257,30,1.4229209985690735e-06
P2278,19,1.2507664592931178e-06
P2332,11,8.994132423884532e-07
P2352,20,7.592287929014674e-07
P2456,170,1.0832757749647179e-06
P2528,65,1.0326694262648044e-06
P2591,107,1.7241250783033105e-06
P2613,605,2.1693701374388634e-06
P2724,0,0.0
P2754,3,6.888020701959855e-07
