class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,42,0.8318204365079365
1,ship,6,4,0.41666666666666663
2,storage-tank,15,5,0.06666666666666667
3,baseball-diamond,11,1,0.09090909090909091
4,tennis-court,87,58,0.6551724137931034
5,basketball-court,6,2,0.3333333333333333
6,ground-track-field,9,0,0.0
7,harbor,48,31,0.5754215542521994
8,bridge,10,5,0.5
9,large-vehicle,57,43,0.6747409063198536
10,small-vehicle,175,117,0.6300321714706356
11,helicopter,0,0,
12,roundabout,5,0,0.0
13,soccer-ball-field,7,1,0.14285714285714285
14,swimming-pool,64,0,0.0
