name,ods_threshold,ods_f_score
P0063,183,0.22067056910526986
P0081,146,0.08938160797907448
P0198,138,0.4155129281425266
P0308,71,0.13503459956183736
P0336,94,0.1018226362658358
P0345,153,0.07015543236236144
P0363,71,0.20035029293383125
P0368,34,0.15803722885233193
P0377,20,0.16229500377373052
P0452,20,0.04987017477463968
P0517,175,0.15662237758381403
P0565,146,0.10168319843620421
P0649,131,0.33110061727784124
P0699,27,0.1030571888099484
P0806,123,0.12051030534803828
P1003,146,0.08737733153563239
P1029,94,0.12119931767647531
P1148,20,0.03290821233670922
P1158,71,0.05887800885142887
P1207,34,1.0
P1216,49,0.04840594224670339
P1242,20,0.0
P1358,131,0.1406324150040014
P1522,138,0.09418258875775512
P1676,153,0.010570152863324378
P1693,175,1.0
P1960,79,0.27744406994108817
P2002,20,0.17917981376885062
P2045,27,0.20814693534760387
P2210,42,0.12061117932600353
P2257,131,0.1341750356606106
P2278,20,0.01438620829313525
P2332,138,0.0977610183639899
P2352,71,0.00922339502051975
P2456,146,0.011913649698741337
P2528,123,0.03343719913179733
P2591,160,0.10446545245701663
P2613,138,0.16985399860211065
P2724,79,0.0287921585442503
P2754,20,0.0018445369915022543
