class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,55,0.8779283216783218
1,ship,6,6,0.37777777777777777
2,storage-tank,15,3,0.06666666666666667
3,baseball-diamond,11,5,0.3090909090909091
4,tennis-court,87,84,0.941555677187861
5,basketball-court,6,4,0.5
6,ground-track-field,9,5,0.5555555555555556
7,harbor,48,42,0.6840335381464414
8,bridge,10,7,0.7
9,large-vehicle,57,81,0.7426743660964663
10,small-vehicle,175,133,0.6210995526796214
11,helicopter,0,0,
12,roundabout,5,1,0.2
13,soccer-ball-field,7,3,0.2857142857142857
14,swimming-pool,64,14,0.18028846153846156
