class_id,class_name,n_gt_px,f_score
0,plane,64509,0.0569652108506904
1,ship,5474,0.015997457664580897
2,storage-tank,5526,0.008533014382542862
3,baseball-diamond,19516,0.021543709637939258
4,tennis-court,194379,0.0829717417641226
5,basketball-court,12744,0.06801217523092173
6,ground-track-field,29502,0.02770287500296975
7,harbor,140055,0.07031301288034777
8,bridge,7670,0.06811802585581662
9,large-vehicle,86840,0.058547080140106386
10,small-vehicle,115861,0.0743209601765724
11,helicopter,0,
12,roundabout,10922,0.0336607519694038
13,soccer-ball-field,27994,0.027293719512205456
14,swimming-pool,52001,0.07737991023845779
