name,n_keypoints,mean_response
P0063,1000,0.00017562720981732126
P0081,1000,0.00020997438109770882
P0198,1000,0.00013077353262997348
P0308,989,4.863722362171115e-05
P0336,1000,0.00016172733080748003
P0345,992,3.9116767534545215e-05
P0363,994,0.00019416931913491647
P0368,993,9.2558542570189e-05
P0377,852,3.252695168255057e-05
P0452,1000,0.00022280415900695515
P0517,1000,0.0003282520802822546
P0565,1000,9.914011181967908e-05
P0649,776,2.3509295580957786e-05
P0699,1000,0.00045647307884064505
P0806,1000,7.572655852413845e-05
P1003,1000,9.117795164956988e-05
P1029,1000,0.00014467026638158133
P1148,77,1.238223473574653e-05
P1158,122,7.760422233395432e-06
P1207,9,2.071681088801193e-06
P1216,1,7.104839596649981e-07
P1242,0,0.0
P1358,985,1.2776371825850385e-05
P1522,532,9.399960023004861e-06
P1676,70,2.9265583728082285e-06
P1693,141,3.603348382694416e-06
P1960,1000,0.0005533124707435491
P2002,1000,0.0003407123304787092
P2045,1000,0.00012518165603705712
P2210,1000,0.000242245868583268
P2257,1000,7.39953057650382e-05
P2278,1000,0.00033500175921471966
P2332,1000,4.538911997769901e-05
P2352,1000,5.8798044615286924e-05
P2456,1000,0.0001321564638910786
P2528,1000,0.00013065698184436768
P2591,1000,0.00011403927571154781
P2613,1000,0.0004435104545809736
P2724,1000,4.328246153181681e-05
P2754,1000,5.7066025416133925e-05
