class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,50,0.845875850340136
1,ship,6,12,0.6708333333333334
2,storage-tank,15,19,0.8577777777777779
3,baseball-diamond,11,6,0.5454545454545454
4,tennis-court,87,91,0.916568085751723
5,basketball-court,6,0,0.0
6,ground-track-field,9,3,0.3333333333333333
7,harbor,48,40,0.7372742518059855
8,bridge,10,11,0.8386363636363636
9,large-vehicle,57,112,0.7037657941827407
10,small-vehicle,175,70,0.3425196243943931
11,helicopter,0,0,
12,roundabout,5,5,0.2
13,soccer-ball-field,7,6,0.5428571428571428
14,swimming-pool,64,6,0.07291666666666667
