distortion,level,level_numeric,snr_db_mean,name,ods_threshold,ods_f_score,snr_db
haze,0.5,0.5,3.141872703484021,P2754,20,0.0014894872761925,7.085367568586637
haze,1.0,1.0,-1.0077252033553779,P0063,160,0.2240994383516296,3.2152907323175235
haze,1.0,1.0,-1.0077252033553779,P0081,64,0.0755546176553774,-3.1948242776147207
haze,1.0,1.0,-1.0077252033553779,P0198,138,0.476818790302124,-0.9654949811926768
haze,1.0,1.0,-1.0077252033553779,P0308,27,0.1433044358910125,-2.9190371885040136
haze,1.0,1.0,-1.0077252033553779,P0336,42,0.1049996433782342,-5.685767931132608
haze,1.0,1.0,-1.0077252033553779,P0345,123,0.0632552207237837,-3.499576451740745
haze,1.0,1.0,-1.0077252033553779,P0363,34,0.1892692197418976,-3.339195950882639
haze,1.0,1.0,-1.0077252033553779,P0368,20,0.1572421235796716,-2.839968472432817
haze,1.0,1.0,-1.0077252033553779,P0377,27,0.124931464907808,-4.45875790958379
haze,1.0,1.0,-1.0077252033553779,P0452,42,0.0386766983094322,-1.306448816763698
haze,1.0,1.0,-1.0077252033553779,P0517,138,0.1137265469378265,-2.6337791285198087
haze,1.0,1.0,-1.0077252033553779,P0565,116,0.1108522528909122,-6.024823907121242
haze,1.0,1.0,-1.0077252033553779,P0649,123,0.3107465245864991,-5.212375653973553
haze,1.0,1.0,-1.0077252033553779,P0699,20,0.0911546064516651,-3.286180707927388
haze,1.0,1.0,-1.0077252033553779,P0806,64,0.0999847531917388,1.2793212425153024
haze,1.0,1.0,-1.0077252033553779,P1003,131,0.0816553566246635,-7.224242106734896
haze,1.0,1.0,-1.0077252033553779,P1029,79,0.1177747628880446,-2.6859680983951346
haze,1.0,1.0,-1.0077252033553779,P1148,20,0.0,1.2663023037089949
haze,1.0,1.0,-1.0077252033553779,P1158,20,0.0291191962774291,-2.263395040683667
haze,1.0,1.0,-1.0077252033553779,P1207,20,1.0,11.096570809192324
haze,1.0,1.0,-1.0077252033553779,P1216,20,0.2151708808002223,10.626127382201172
haze,1.0,1.0,-1.0077252033553779,P1242,42,0.0367349149981486,3.7656718704473113
haze,1.0,1.0,-1.0077252033553779,P1358,86,0.15824875324199,2.2343840047325108
haze,1.0,1.0,-1.0077252033553779,P1522,42,0.0985943353655141,-3.4716154371810086
haze,1.0,1.0,-1.0077252033553779,P1676,71,0.0200857744248572,2.0568380606665446
haze,1.0,1.0,-1.0077252033553779,P1693,168,1.0,-1.9092666431754388
haze,1.0,1.0,-1.0077252033553779,P1960,49,0.2555382834002144,-3.059641652799325
haze,1.0,1.0,-1.0077252033553779,P2002,20,0.185464986916863,0.7178100141676964
haze,1.0,1.0,-1.0077252033553779,P2045,20,0.1780862326389841,-6.2623796195255474
haze,1.0,1.0,-1.0077252033553779,P2210,27,0.1379535125337466,3.757887282384336
haze,1.0,1.0,-1.0077252033553779,P2257,131,0.1289082622725088,-4.431120678661079
haze,1.0,1.0,-1.0077252033553779,P2278,116,0.1392218131003088,1.6961726678617888
haze,1.0,1.0,-1.0077252033553779,P2332,94,0.0893179110169568,1.8305272220529856
haze,1.0,1.0,-1.0077252033553779,P2352,86,0.0170042181470069,-0.1780756366915568
haze,1.0,1.0,-1.0077252033553779,P2456,183,0.0095927643149167,-1.1572081101382818
haze,1.0,1.0,-1.0077252033553779,P2528,79,0.0406788548264283,-1.86609036829008
haze,1.0,1.0,-1.0077252033553779,P2591,153,0.1156320213549552,-1.1835231932628774
haze,1.0,1.0,-1.0077252033553779,P2613,20,0.1310918072463764,-6.50277438202946
haze,1.0,1.0,-1.0077252033553779,P2724,42,0.0538649034470675,0.769638618008045
haze,1.0,1.0,-1.0077252033553779,P2754,20,0.0008746564193638,2.939982000486405
haze,1.5,1.5,-2.808582539633451,P0063,86,0.2634287354812057,1.415784992668465
haze,1.5,1.5,-2.808582539633451,P0081,27,0.0713603226264516,-4.9778029780170545
haze,1.5,1.5,-2.808582539633451,P0198,57,0.4595380784980445,-2.763981268282495
haze,1.5,1.5,-2.808582539633451,P0308,20,0.0952833192479605,-4.717047446176662
haze,1.5,1.5,-2.808582539633451,P0336,20,0.0871896365861061,-7.482471131742726
haze,1.5,1.5,-2.808582539633451,P0345,57,0.0664518249178481,-5.298966136567861
haze,1.5,1.5,-2.808582539633451,P0363,20,0.1541611269517948,-5.139449723927488
haze,1.5,1.5,-2.808582539633451,P0368,20,0.1649669665240631,-4.637251222188975
haze,1.5,1.5,-2.808582539633451,P0377,20,0.1124828375072017,-6.258387510396313
haze,1.5,1.5,-2.808582539633451,P0452,27,0.0348693259616837,-3.107394345151543
haze,1.5,1.5,-2.808582539633451,P0517,86,0.1472003606245768,-4.431956449125676
haze,1.5,1.5,-2.808582539633451,P0565,49,0.1188313367843802,-7.821444265879798
haze,1.5,1.5,-2.808582539633451,P0649,116,0.3612581872380833,-7.0262679807065345
haze,1.5,1.5,-2.808582539633451,P0699,20,0.0648874547312053,-5.090403154460766
haze,1.5,1.5,-2.808582539633451,P0806,20,0.0714975351338221,-0.5201340422861457
haze,1.5,1.5,-2.808582539633451,P1003,94,0.0687696143925227,-9.016610855506356
haze,1.5,1.5,-2.808582539633451,P1029,79,0.1322173215232497,-4.483923359533043
haze,1.5,1.5,-2.808582539633451,P1148,20,0.0,-0.5321723860237566
haze,1.5,1.5,-2.808582539633451,P1158,20,0.0,-4.060893529948549
haze,1.5,1.5,-2.808582539633451,P1207,27,1.0,9.242750120530486
haze,1.5,1.5,-2.808582539633451,P1216,20,0.0,8.788338333859452
haze,1.5,1.5,-2.808582539633451,P1242,20,0.0339400721803963,1.9642796513223548
haze,1.5,1.5,-2.808582539633451,P1358,20,0.1564973206463251,0.4321711435852298
haze,1.5,1.5,-2.808582539633451,P1522,20,0.0207910750507099,-5.269196494591687
haze,1.5,1.5,-2.808582539633451,P1676,79,0.0515097012931315,0.2438110141413614
haze,1.5,1.5,-2.808582539633451,P1693,153,1.0,-3.709550039019778
haze,1.5,1.5,-2.808582539633451,P1960,20,0.2927524976308781,-4.856862293818967
haze,1.5,1.5,-2.808582539633451,P2002,20,0.1941084023379665,-1.080482782374186
haze,1.5,1.5,-2.808582539633451,P2045,20,0.1238001437911845,-8.051201993604842
haze,1.5,1.5,-2.808582539633451,P2210,20,0.0926970518550829,1.957582725170045
haze,1.5,1.5,-2.808582539633451,P2257,20,0.1091970144431174,-6.229889189073971
haze,1.5,1.5,-2.808582539633451,P2278,20,0.1483951891361389,-0.102457797343696
haze,1.5,1.5,-2.808582539633451,P2332,34,0.06614872303139,0.0312512240632204
haze,1.5,1.5,-2.808582539633451,P2352,20,0.0079442814421324,-1.976927502024134
haze,1.5,1.5,-2.808582539633451,P2456,20,0.0001770167540188,-2.955062425589803
haze,1.5,1.5,-2.808582539633451,P2528,20,0.0244705495356168,-3.663438216394943
haze,1.5,1.5,-2.808582539633451,P2591,20,0.0970968392213626,-2.9815562555769084
haze,1.5,1.5,-2.808582539633451,P2613,20,0.1334111159191506,-8.286569694697352
haze,1.5,1.5,-2.808582539633451,P2724,20,0.0,-1.0302486023462831
haze,1.5,1.5,-2.808582539633451,P2754,20,0.0,1.1407302816996128
haze,2.0,2.0,-3.745351966101456,P0063,20,0.2471293026048266,0.4818235707945951
haze,2.0,2.0,-3.745351966101456,P0081,20,0.0352451919172336,-5.929344072158042
haze,2.0,2.0,-3.745351966101456,P0198,20,0.3640849184744603,-3.696297975689572
haze,2.0,2.0,-3.745351966101456,P0308,20,0.0436950275996429,-5.65184546876044
haze,2.0,2.0,-3.745351966101456,P0336,20,0.0477785878022125,-8.415716496313214
haze,2.0,2.0,-3.745351966101456,P0345,20,0.0743791007497727,-6.232099885397023
haze,2.0,2.0,-3.745351966101456,P0363,20,0.1041692172807657,-6.062311073805176
haze,2.0,2.0,-3.745351966101456,P0368,20,0.1127427074217762,-5.564358452434712
haze,2.0,2.0,-3.745351966101456,P0377,20,0.0172141391751361,-7.188952052611648
haze,2.0,2.0,-3.745351966101456,P0452,20,0.0220346348290119,-4.038984360388187
haze,2.0,2.0,-3.745351966101456,P0517,20,0.1891291749586313,-5.364663798490481
haze,2.0,2.0,-3.745351966101456,P0565,20,0.11371136580928,-8.754796241711318
haze,2.0,2.0,-3.745351966101456,P0649,94,0.3659562671454109,-7.946725574811411
haze,2.0,2.0,-3.745351966101456,P0699,20,0.0438210869124865,-6.02498639051031
haze,2.0,2.0,-3.745351966101456,P0806,20,0.0653186838977619,-1.4535407628758192
haze,2.0,2.0,-3.745351966101456,P1003,20,0.1019343358200658,-9.947708356917364
haze,2.0,2.0,-3.745351966101456,P1029,20,0.1578282600655895,-5.416695475099384
haze,2.0,2.0,-3.745351966101456,P1148,20,0.0,-1.4665949750964753
haze,2.0,2.0,-3.745351966101456,P1158,20,0.0,-4.994880729950063
haze,2.0,2.0,-3.745351966101456,P1207,27,1.0,8.203172773903809
haze,2.0,2.0,-3.745351966101456,P1216,20,0.0,7.820576304007783
haze,2.0,2.0,-3.745351966101456,P1242,20,0.0214359435784793,1.0276772410505044
haze,2.0,2.0,-3.745351966101456,P1358,20,0.0705970545941294,-0.5035654998513757
haze,2.0,2.0,-3.745351966101456,P1522,20,0.0233176518715483,-6.2062216849659375
haze,2.0,2.0,-3.745351966101456,P1676,64,0.074836275335996,-0.684643378333431
haze,2.0,2.0,-3.745351966101456,P1693,116,1.0,-4.649629614031485
haze,2.0,2.0,-3.745351966101456,P1960,20,0.2156772916962125,-5.790278337390608
haze,2.0,2.0,-3.745351966101456,P2002,20,0.2259592076503329,-2.014001555914583
haze,2.0,2.0,-3.745351966101456,P2045,20,0.0338541179568942,-8.98274535310346
haze,2.0,2.0,-3.745351966101456,P2210,20,0.0436320786823943,1.023761393165845
haze,2.0,2.0,-3.745351966101456,P2257,20,0.0522272788480245,-7.1584781531260955
haze,2.0,2.0,-3.745351966101456,P2278,20,0.1004146708342178,-1.03625400596153
haze,2.0,2.0,-3.745351966101456,P2332,20,0.0,-0.9024374379511846
haze,2.0,2.0,-3.745351966101456,P2352,20,0.0,-2.9098595813212564
haze,2.0,2.0,-3.745351966101456,P2456,20,0.0,-3.888079784141603
haze,2.0,2.0,-3.745351966101456,P2528,20,0.0,-4.597145720463633
haze,2.0,2.0,-3.745351966101456,P2591,20,0.0461245347460483,-3.914795587531718
haze,2.0,2.0,-3.745351966101456,P2613,20,0.1141689255155483,-9.226302301663784
haze,2.0,2.0,-3.745351966101456,P2724,20,0.0,-1.9633209705011945
haze,2.0,2.0,-3.745351966101456,P2754,20,0.0,0.2071711822927556
haze,2.5,2.5,-4.268570215477657,P0063,20,0.0,-0.0392655462716577
haze,2.5,2.5,-4.268570215477657,P0081,20,0.0225695544447149,-6.44623347633039
haze,2.5,2.5,-4.268570215477657,P0198,20,0.0247003926649299,-4.217477654028361
haze,2.5,2.5,-4.268570215477657,P0308,20,0.0095911852440376,-6.172731962841098
haze,2.5,2.5,-4.268570215477657,P0336,20,0.0005873331810617,-8.936414104286403
haze,2.5,2.5,-4.268570215477657,P0345,20,0.0568871305216879,-6.753706386369913
haze,2.5,2.5,-4.268570215477657,P0363,20,0.017136553688354,-6.593880652539133
haze,2.5,2.5,-4.268570215477657,P0368,20,0.0134123772212837,-6.0892344052852945
haze,2.5,2.5,-4.268570215477657,P0377,20,0.0,-7.718451983916386
haze,2.5,2.5,-4.268570215477657,P0452,20,0.0202549621357655,-4.554629711862026
haze,2.5,2.5,-4.268570215477657,P0517,20,0.1710045462376569,-5.8856946678921505
haze,2.5,2.5,-4.268570215477657,P0565,20,0.0434299861122323,-9.275489390786351
haze,2.5,2.5,-4.268570215477657,P0649,49,0.2591767647430407,-8.471774439962935
haze,2.5,2.5,-4.268570215477657,P0699,20,0.0137139732285583,-6.547492555320591
haze,2.5,2.5,-4.268570215477657,P0806,20,0.0128650583786395,-1.974576130506456
haze,2.5,2.5,-4.268570215477657,P1003,20,0.0948576825612438,-10.469921172420843
haze,2.5,2.5,-4.268570215477657,P1029,20,0.0566107311174389,-5.937331609481452
haze,2.5,2.5,-4.268570215477657,P1148,20,0.0,-1.9879747124947496
haze,2.5,2.5,-4.268570215477657,P1158,20,0.0,-5.515696595099239
haze,2.5,2.5,-4.268570215477657,P1207,20,1.0,7.635119217725437
haze,2.5,2.5,-4.268570215477657,P1216,20,0.0,7.295009099793226
haze,2.5,2.5,-4.268570215477657,P1242,20,0.0,0.5084271744256931
haze,2.5,2.5,-4.268570215477657,P1358,20,0.0,-1.0259237392561882
haze,2.5,2.5,-4.268570215477657,P1522,20,0.0410390744378956,-6.727946084698971
haze,2.5,2.5,-4.268570215477657,P1676,34,0.0676405857530444,-1.2100551048203754
haze,2.5,2.5,-4.268570215477657,P1693,94,1.0,-5.174632740511188
haze,2.5,2.5,-4.268570215477657,P1960,20,0.0669427698966186,-6.30996569871607
haze,2.5,2.5,-4.268570215477657,P2002,20,0.1689989993918999,-2.5352195806301507
haze,2.5,2.5,-4.268570215477657,P2045,20,0.0,-9.50322884322832
haze,2.5,2.5,-4.268570215477657,P2210,20,0.0,0.5028003574439475
haze,2.5,2.5,-4.268570215477657,P2257,20,0.0615441448097524,-7.68305114347708
haze,2.5,2.5,-4.268570215477657,P2278,20,0.0782864601194116,-1.557860609819552
haze,2.5,2.5,-4.268570215477657,P2332,20,0.0,-1.4236184162396683
haze,2.5,2.5,-4.268570215477657,P2352,20,0.0,-3.431012087393018
haze,2.5,2.5,-4.268570215477657,P2456,20,0.0,-4.409025274043776
haze,2.5,2.5,-4.268570215477657,P2528,20,0.0,-5.11791520209812
haze,2.5,2.5,-4.268570215477657,P2591,20,0.0143099345533606,-4.4354132881462185
haze,2.5,2.5,-4.268570215477657,P2613,20,0.0568862908266326,-9.753197243840953
haze,2.5,2.5,-4.268570215477657,P2724,20,0.0,-2.4844134488842275
haze,2.5,2.5,-4.268570215477657,P2754,20,0.0,-0.313708804995269
haze,3.0,3.0,-4.564046168308607,P0063,20,0.0,-0.3405214673072442
haze,3.0,3.0,-4.564046168308607,P0081,20,0.0,-6.753990740563961
haze,3.0,3.0,-4.564046168308607,P0198,20,0.0,-4.519172235154825
haze,3.0,3.0,-4.564046168308607,P0308,20,0.0,-6.475081317448388
haze,3.0,3.0,-4.564046168308607,P0336,20,0.0,-9.236574701677489
haze,3.0,3.0,-4.564046168308607,P0345,20,0.0224988412963462,-7.053334298053388
haze,3.0,3.0,-4.564046168308607,P0363,20,0.0,-6.891177929884708
haze,3.0,3.0,-4.564046168308607,P0368,20,0.0,-6.394014235676593
haze,3.0,3.0,-4.564046168308607,P0377,20,0.0,-8.016577441648254
haze,3.0,3.0,-4.564046168308607,P0452,20,0.0,-4.862119632382384
haze,3.0,3.0,-4.564046168308607,P0517,20,0.0958293691714255,-6.186984143942399
haze,3.0,3.0,-4.564046168308607,P0565,20,0.0,-9.578842235859556
haze,3.0,3.0,-4.564046168308607,P0649,20,0.1802105060461923,-8.789646191771057
haze,3.0,3.0,-4.564046168308607,P0699,20,0.0,-6.844715045885698
haze,3.0,3.0,-4.564046168308607,P0806,20,0.0,-2.276295070284429
haze,3.0,3.0,-4.564046168308607,P1003,20,0.0,-10.76565981722254
haze,3.0,3.0,-4.564046168308607,P1029,20,0.0,-6.239208479526633
haze,3.0,3.0,-4.564046168308607,P1148,20,0.0,-2.28850191757253
haze,3.0,3.0,-4.564046168308607,P1158,20,0.0,-5.816520271289056
haze,3.0,3.0,-4.564046168308607,P1207,20,1.0,7.549653330920897
haze,3.0,3.0,-4.564046168308607,P1216,20,0.0,7.036070236256017
haze,3.0,3.0,-4.564046168308607,P1242,20,0.0,0.1965581279511151
haze,3.0,3.0,-4.564046168308607,P1358,20,0.0,-1.324456802364888
haze,3.0,3.0,-4.564046168308607,P1522,20,0.0576322654302535,-7.027910854028823
haze,3.0,3.0,-4.564046168308607,P1676,27,0.0482709642064039,-1.5124002810591255
haze,3.0,3.0,-4.564046168308607,P1693,86,1.0,-5.478578914823531
haze,3.0,3.0,-4.564046168308607,P1960,20,0.00158693677425,-6.61095670316427
haze,3.0,3.0,-4.564046168308607,P2002,20,0.0166676982075824,-2.836374626600188
haze,3.0,3.0,-4.564046168308607,P2045,20,0.0,-9.808527291807252
haze,3.0,3.0,-4.564046168308607,P2210,20,0.0,0.2009017290919646
haze,3.0,3.0,-4.564046168308607,P2257,20,0.012993938557644,-7.981104136230549
haze,3.0,3.0,-4.564046168308607,P2278,20,0.0286536078369536,-1.859477925139611
haze,3.0,3.0,-4.564046168308607,P2332,20,0.0,-1.725239767634717
haze,3.0,3.0,-4.564046168308607,P2352,20,0.0,-3.732413907995245
