distortion,level,level_numeric,snr_db_mean,class_id,class_name,n_gt,n_pred,ap_iou50
haze,3.0,3.0,-4.564046168308607,5,basketball-court,6,2,0.3333333333333333
haze,3.0,3.0,-4.564046168308607,6,ground-track-field,9,0,0.0
haze,3.0,3.0,-4.564046168308607,7,harbor,48,0,0.0
haze,3.0,3.0,-4.564046168308607,8,bridge,10,0,0.0
haze,3.0,3.0,-4.564046168308607,9,large-vehicle,57,0,0.0
haze,3.0,3.0,-4.564046168308607,10,small-vehicle,175,3,0.0171428571428571
haze,3.0,3.0,-4.564046168308607,11,helicopter,0,0,
haze,3.0,3.0,-4.564046168308607,12,roundabout,5,0,0.0
haze,3.0,3.0,-4.564046168308607,13,soccer-ball-field,7,0,0.0
haze,3.0,3.0,-4.564046168308607,14,swimming-pool,64,0,0.0
jpeg,1,1.0,14.156771236721948,0,plane,48,201,0.8090909090909091
jpeg,1,1.0,14.156771236721948,1,ship,6,12,0.5
jpeg,1,1.0,14.156771236721948,2,storage-tank,15,0,0.0
jpeg,1,1.0,14.156771236721948,3,baseball-diamond,11,0,0.0
jpeg,1,1.0,14.156771236721948,4,tennis-court,87,6,0.0689655172413793
jpeg,1,1.0,14.156771236721948,5,basketball-court,6,0,0.0
jpeg,1,1.0,14.156771236721948,6,ground-track-field,9,0,0.0
jpeg,1,1.0,14.156771236721948,7,harbor,48,35,0.1957112332112332
jpeg,1,1.0,14.156771236721948,8,bridge,10,0,0.0
jpeg,1,1.0,14.156771236721948,9,large-vehicle,57,80,0.635327124646456
jpeg,1,1.0,14.156771236721948,10,small-vehicle,175,250,0.1175157925282122
jpeg,1,1.0,14.156771236721948,11,helicopter,0,0,
jpeg,1,1.0,14.156771236721948,12,roundabout,5,0,0.0
jpeg,1,1.0,14.156771236721948,13,soccer-ball-field,7,0,0.0
jpeg,1,1.0,14.156771236721948,14,swimming-pool,64,74,0.0010245901639344
jpeg,3,3.0,14.437534838522705,0,plane,48,124,0.8310185185185185
jpeg,3,3.0,14.437534838522705,1,ship,6,16,0.2777777777777778
jpeg,3,3.0,14.437534838522705,2,storage-tank,15,1,0.0666666666666666
jpeg,3,3.0,14.437534838522705,3,baseball-diamond,11,0,0.0
jpeg,3,3.0,14.437534838522705,4,tennis-court,87,10,0.1149425287356321
jpeg,3,3.0,14.437534838522705,5,basketball-court,6,0,0.0
jpeg,3,3.0,14.437534838522705,6,ground-track-field,9,0,0.0
jpeg,3,3.0,14.437534838522705,7,harbor,48,88,0.2658316313207617
jpeg,3,3.0,14.437534838522705,8,bridge,10,0,0.0
jpeg,3,3.0,14.437534838522705,9,large-vehicle,57,97,0.6979232223596267
jpeg,3,3.0,14.437534838522705,10,small-vehicle,175,344,0.2130805483758164
jpeg,3,3.0,14.437534838522705,11,helicopter,0,0,
jpeg,3,3.0,14.437534838522705,12,roundabout,5,0,0.0
jpeg,3,3.0,14.437534838522705,13,soccer-ball-field,7,0,0.0
jpeg,3,3.0,14.437534838522705,14,swimming-pool,64,164,0.0026975832413539
jpeg,5,5.0,16.218186348216353,0,plane,48,67,0.8531976744186046
jpeg,5,5.0,16.218186348216353,1,ship,6,26,0.3541666666666666
jpeg,5,5.0,16.218186348216353,2,storage-tank,15,2,0.1333333333333333
jpeg,5,5.0,16.218186348216353,3,baseball-diamond,11,0,0.0
jpeg,5,5.0,16.218186348216353,4,tennis-court,87,16,0.1724137931034483
jpeg,5,5.0,16.218186348216353,5,basketball-court,6,0,0.0
jpeg,5,5.0,16.218186348216353,6,ground-track-field,9,0,0.0
jpeg,5,5.0,16.218186348216353,7,harbor,48,293,0.2619285873584593
jpeg,5,5.0,16.218186348216353,8,bridge,10,1,0.1
jpeg,5,5.0,16.218186348216353,9,large-vehicle,57,100,0.7736105979514268
jpeg,5,5.0,16.218186348216353,10,small-vehicle,175,252,0.4479086303267945
jpeg,5,5.0,16.218186348216353,11,helicopter,0,0,
jpeg,5,5.0,16.218186348216353,12,roundabout,5,0,0.0
jpeg,5,5.0,16.218186348216353,13,soccer-ball-field,7,0,0.0
jpeg,5,5.0,16.218186348216353,14,swimming-pool,64,424,0.0523674015984812
jpeg,10,10.0,19.688575281576988,0,plane,48,66,0.8519021739130435
jpeg,10,10.0,19.688575281576988,1,ship,6,8,0.4166666666666666
jpeg,10,10.0,19.688575281576988,2,storage-tank,15,5,0.3333333333333333
jpeg,10,10.0,19.688575281576988,3,baseball-diamond,11,1,0.0
jpeg,10,10.0,19.688575281576988,4,tennis-court,87,73,0.7687524397005476
jpeg,10,10.0,19.688575281576988,5,basketball-court,6,1,0.1666666666666666
jpeg,10,10.0,19.688575281576988,6,ground-track-field,9,0,0.0
jpeg,10,10.0,19.688575281576988,7,harbor,48,96,0.5360088094334096
jpeg,10,10.0,19.688575281576988,8,bridge,10,4,0.4
jpeg,10,10.0,19.688575281576988,9,large-vehicle,57,84,0.7858671732668931
jpeg,10,10.0,19.688575281576988,10,small-vehicle,175,134,0.5793840020622194
jpeg,10,10.0,19.688575281576988,11,helicopter,0,0,
jpeg,10,10.0,19.688575281576988,12,roundabout,5,1,0.0
jpeg,10,10.0,19.688575281576988,13,soccer-ball-field,7,1,0.1428571428571428
jpeg,10,10.0,19.688575281576988,14,swimming-pool,64,95,0.0849712171052631
jpeg,20,20.0,22.715415437378294,0,plane,48,45,0.8958333333333334
jpeg,20,20.0,22.715415437378294,1,ship,6,4,0.2777777777777778
jpeg,20,20.0,22.715415437378294,2,storage-tank,15,12,0.6606060606060605
jpeg,20,20.0,22.715415437378294,3,baseball-diamond,11,5,0.3636363636363636
jpeg,20,20.0,22.715415437378294,4,tennis-court,87,82,0.918972525932156
jpeg,20,20.0,22.715415437378294,5,basketball-court,6,3,0.5
jpeg,20,20.0,22.715415437378294,6,ground-track-field,9,6,0.5
jpeg,20,20.0,22.715415437378294,7,harbor,48,44,0.7469519859225742
jpeg,20,20.0,22.715415437378294,8,bridge,10,8,0.8
jpeg,20,20.0,22.715415437378294,9,large-vehicle,57,72,0.7411006202841833
jpeg,20,20.0,22.715415437378294,10,small-vehicle,175,125,0.6088122605021116
jpeg,20,20.0,22.715415437378294,11,helicopter,0,0,
jpeg,20,20.0,22.715415437378294,12,roundabout,5,2,0.4
jpeg,20,20.0,22.715415437378294,13,soccer-ball-field,7,6,0.4285714285714285
jpeg,20,20.0,22.715415437378294,14,swimming-pool,64,9,0.1232638888888889
jpeg,40,40.0,25.44764178746442,0,plane,48,45,0.8953598484848485
jpeg,40,40.0,25.44764178746442,1,ship,6,4,0.6666666666666666
jpeg,40,40.0,25.44764178746442,2,storage-tank,15,16,0.8666666666666667
jpeg,40,40.0,25.44764178746442,3,baseball-diamond,11,9,0.7272727272727273
jpeg,40,40.0,25.44764178746442,4,tennis-court,87,86,0.9534755655481968
jpeg,40,40.0,25.44764178746442,5,basketball-court,6,5,0.8333333333333334
jpeg,40,40.0,25.44764178746442,6,ground-track-field,9,8,0.7638888888888888
jpeg,40,40.0,25.44764178746442,7,harbor,48,43,0.7893683862433862
jpeg,40,40.0,25.44764178746442,8,bridge,10,9,0.9
jpeg,40,40.0,25.44764178746442,9,large-vehicle,57,75,0.6949584523831759
