distortion,level,level_numeric,snr_db_mean,name,snr_db,n_clean_kp,n_dist_kp,n_good,good_ratio
haze,1.5,1.5,-2.808582539633451,P0063,1.415784992668465,1000,926,792,0.8552915766738661
haze,1.5,1.5,-2.808582539633451,P0081,-4.9778029780170545,1000,764,570,0.7460732984293194
haze,1.5,1.5,-2.808582539633451,P0198,-2.763981268282495,1000,901,723,0.802441731409545
haze,1.5,1.5,-2.808582539633451,P0308,-4.717047446176662,1000,187,169,0.9037433155080213
haze,1.5,1.5,-2.808582539633451,P0336,-7.482471131742726,1000,913,682,0.7469879518072289
haze,1.5,1.5,-2.808582539633451,P0345,-5.298966136567861,1000,165,152,0.9212121212121213
haze,1.5,1.5,-2.808582539633451,P0363,-5.139449723927488,1000,761,598,0.78580814717477
haze,1.5,1.5,-2.808582539633451,P0368,-4.637251222188975,1000,464,416,0.896551724137931
haze,1.5,1.5,-2.808582539633451,P0377,-6.258387510396313,1000,52,47,0.9038461538461539
haze,1.5,1.5,-2.808582539633451,P0452,-3.107394345151543,1000,841,729,0.8668252080856124
haze,1.5,1.5,-2.808582539633451,P0517,-4.431956449125676,1000,966,867,0.8975155279503105
haze,1.5,1.5,-2.808582539633451,P0565,-7.821444265879798,1000,538,459,0.8531598513011153
haze,1.5,1.5,-2.808582539633451,P0649,-7.0262679807065345,1000,84,74,0.8809523809523809
haze,1.5,1.5,-2.808582539633451,P0699,-5.090403154460766,1000,957,743,0.7763845350052246
haze,1.5,1.5,-2.808582539633451,P0806,-0.5201340422861457,1000,543,430,0.7918968692449355
haze,1.5,1.5,-2.808582539633451,P1003,-9.016610855506356,1000,626,476,0.7603833865814696
haze,1.5,1.5,-2.808582539633451,P1029,-4.483923359533043,1000,923,689,0.7464788732394366
haze,1.5,1.5,-2.808582539633451,P1148,-0.5321723860237566,417,1,0,0.0
haze,1.5,1.5,-2.808582539633451,P1158,-4.060893529948549,939,1,0,0.0
haze,1.5,1.5,-2.808582539633451,P1207,9.242750120530486,93,0,0,0.0
haze,1.5,1.5,-2.808582539633451,P1216,8.788338333859452,155,0,0,0.0
haze,1.5,1.5,-2.808582539633451,P1242,1.9642796513223548,1000,37,36,0.972972972972973
haze,1.5,1.5,-2.808582539633451,P1358,0.4321711435852298,1000,186,184,0.989247311827957
haze,1.5,1.5,-2.808582539633451,P1522,-5.269196494591687,1000,11,10,0.9090909090909091
haze,1.5,1.5,-2.808582539633451,P1676,0.2438110141413614,536,0,0,0.0
haze,1.5,1.5,-2.808582539633451,P1693,-3.709550039019778,825,0,0,0.0
haze,1.5,1.5,-2.808582539633451,P1960,-4.856862293818967,1000,1000,927,0.927
haze,1.5,1.5,-2.808582539633451,P2002,-1.080482782374186,1000,1000,908,0.908
haze,1.5,1.5,-2.808582539633451,P2045,-8.051201993604842,1000,498,384,0.7710843373493976
haze,1.5,1.5,-2.808582539633451,P2210,1.957582725170045,1000,954,791,0.8291404612159329
haze,1.5,1.5,-2.808582539633451,P2257,-6.229889189073971,1000,622,468,0.752411575562701
haze,1.5,1.5,-2.808582539633451,P2278,-0.102457797343696,1000,559,413,0.738819320214669
haze,1.5,1.5,-2.808582539633451,P2332,0.0312512240632204,1000,727,507,0.6973865199449794
haze,1.5,1.5,-2.808582539633451,P2352,-1.976927502024134,1000,713,554,0.7769985974754559
haze,1.5,1.5,-2.808582539633451,P2456,-2.955062425589803,1000,937,802,0.855923159018143
haze,1.5,1.5,-2.808582539633451,P2528,-3.663438216394943,1000,963,828,0.8598130841121495
haze,1.5,1.5,-2.808582539633451,P2591,-2.9815562555769084,1000,735,606,0.8244897959183674
haze,1.5,1.5,-2.808582539633451,P2613,-8.286569694697352,1000,979,872,0.8907048008171604
haze,1.5,1.5,-2.808582539633451,P2724,-1.0302486023462831,1000,802,595,0.7418952618453866
haze,1.5,1.5,-2.808582539633451,P2754,1.1407302816996128,1000,832,627,0.7536057692307693
haze,2.0,2.0,-3.745351966101456,P0063,0.4818235707945951,1000,312,215,0.6891025641025641
haze,2.0,2.0,-3.745351966101456,P0081,-5.929344072158042,1000,106,94,0.8867924528301887
haze,2.0,2.0,-3.745351966101456,P0198,-3.696297975689572,1000,108,91,0.8425925925925926
haze,2.0,2.0,-3.745351966101456,P0308,-5.65184546876044,1000,26,22,0.8461538461538461
haze,2.0,2.0,-3.745351966101456,P0336,-8.415716496313214,1000,125,112,0.896
haze,2.0,2.0,-3.745351966101456,P0345,-6.232099885397023,1000,6,6,1.0
haze,2.0,2.0,-3.745351966101456,P0363,-6.062311073805176,1000,122,115,0.9426229508196722
haze,2.0,2.0,-3.745351966101456,P0368,-5.564358452434712,1000,35,33,0.9428571428571428
haze,2.0,2.0,-3.745351966101456,P0377,-7.188952052611648,1000,10,7,0.7
haze,2.0,2.0,-3.745351966101456,P0452,-4.038984360388187,1000,294,223,0.7585034013605442
haze,2.0,2.0,-3.745351966101456,P0517,-5.364663798490481,1000,552,394,0.7137681159420289
haze,2.0,2.0,-3.745351966101456,P0565,-8.754796241711318,1000,74,62,0.8378378378378378
haze,2.0,2.0,-3.745351966101456,P0649,-7.946725574811411,1000,22,13,0.5909090909090909
haze,2.0,2.0,-3.745351966101456,P0699,-6.02498639051031,1000,473,352,0.7441860465116279
haze,2.0,2.0,-3.745351966101456,P0806,-1.4535407628758192,1000,39,38,0.9743589743589743
haze,2.0,2.0,-3.745351966101456,P1003,-9.947708356917364,1000,55,51,0.9272727272727272
haze,2.0,2.0,-3.745351966101456,P1029,-5.416695475099384,1000,136,107,0.7867647058823529
haze,2.0,2.0,-3.745351966101456,P1148,-1.4665949750964753,417,0,0,0.0
haze,2.0,2.0,-3.745351966101456,P1158,-4.994880729950063,939,0,0,0.0
haze,2.0,2.0,-3.745351966101456,P1207,8.203172773903809,93,0,0,0.0
haze,2.0,2.0,-3.745351966101456,P1216,7.820576304007783,155,0,0,0.0
haze,2.0,2.0,-3.745351966101456,P1242,1.0276772410505044,1000,3,3,1.0
haze,2.0,2.0,-3.745351966101456,P1358,-0.5035654998513757,1000,8,5,0.625
haze,2.0,2.0,-3.745351966101456,P1522,-6.2062216849659375,1000,0,0,0.0
haze,2.0,2.0,-3.745351966101456,P1676,-0.684643378333431,536,0,0,0.0
haze,2.0,2.0,-3.745351966101456,P1693,-4.649629614031485,825,0,0,0.0
haze,2.0,2.0,-3.745351966101456,P1960,-5.790278337390608,1000,922,775,0.8405639913232104
haze,2.0,2.0,-3.745351966101456,P2002,-2.014001555914583,1000,644,506,0.7857142857142857
haze,2.0,2.0,-3.745351966101456,P2045,-8.98274535310346,1000,37,35,0.9459459459459459
haze,2.0,2.0,-3.745351966101456,P2210,1.023761393165845,1000,384,282,0.734375
haze,2.0,2.0,-3.745351966101456,P2257,-7.1584781531260955,1000,30,28,0.9333333333333333
haze,2.0,2.0,-3.745351966101456,P2278,-1.03625400596153,1000,19,16,0.8421052631578947
haze,2.0,2.0,-3.745351966101456,P2332,-0.9024374379511846,1000,11,10,0.9090909090909091
haze,2.0,2.0,-3.745351966101456,P2352,-2.9098595813212564,1000,20,18,0.9
haze,2.0,2.0,-3.745351966101456,P2456,-3.888079784141603,1000,170,133,0.7823529411764706
haze,2.0,2.0,-3.745351966101456,P2528,-4.597145720463633,1000,65,61,0.9384615384615385
haze,2.0,2.0,-3.745351966101456,P2591,-3.914795587531718,1000,107,95,0.8878504672897196
haze,2.0,2.0,-3.745351966101456,P2613,-9.226302301663784,1000,605,421,0.6958677685950413
haze,2.0,2.0,-3.745351966101456,P2724,-1.9633209705011945,1000,0,0,0.0
haze,2.0,2.0,-3.745351966101456,P2754,0.2071711822927556,1000,3,3,1.0
haze,2.5,2.5,-4.268570215477657,P0063,-0.0392655462716577,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P0081,-6.44623347633039,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P0198,-4.217477654028361,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P0308,-6.172731962841098,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P0336,-8.936414104286403,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P0345,-6.753706386369913,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P0363,-6.593880652539133,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P0368,-6.0892344052852945,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P0377,-7.718451983916386,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P0452,-4.554629711862026,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P0517,-5.8856946678921505,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P0565,-9.275489390786351,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P0649,-8.471774439962935,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P0699,-6.547492555320591,1000,0,0,0.0
