class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,52,0.850008234519104
1,ship,6,12,0.7777777777777778
2,storage-tank,15,16,0.814814814814815
3,baseball-diamond,11,9,0.7171717171717171
4,tennis-court,87,94,0.9300479910275413
5,basketball-court,6,0,0.0
6,ground-track-field,9,7,0.3333333333333333
7,harbor,48,41,0.7238069641764048
8,bridge,10,11,1.0
9,large-vehicle,57,118,0.6529115912232109
10,small-vehicle,175,73,0.3747803825853603
11,helicopter,0,0,
12,roundabout,5,7,0.2
13,soccer-ball-field,7,8,0.5142857142857142
14,swimming-pool,64,7,0.109375
