class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,51,0.8916337285902503
1,ship,6,6,0.5277777777777777
2,storage-tank,15,11,0.5674242424242425
3,baseball-diamond,11,6,0.5454545454545454
4,tennis-court,87,81,0.9191145168156662
5,basketball-court,6,4,0.5
6,ground-track-field,9,5,0.5555555555555556
7,harbor,48,38,0.680824118062228
8,bridge,10,9,0.788888888888889
9,large-vehicle,57,71,0.7519635689907167
10,small-vehicle,175,146,0.6956969325476818
11,helicopter,0,0,
12,roundabout,5,2,0.1
13,soccer-ball-field,7,2,0.2857142857142857
14,swimming-pool,64,11,0.134375
