class_id,class_name,n_gt_px,f_score
0,plane,64509,0.0431563752202366
1,ship,5474,0.013107713664824203
2,storage-tank,5526,0.02822879572329931
3,baseball-diamond,19516,0.03534077057831203
4,tennis-court,194379,0.08118704714100494
5,basketball-court,12744,0.06513369525179714
6,ground-track-field,29502,0.0303478726683365
7,harbor,140055,0.08834736461845896
8,bridge,7670,0.11167676937374175
9,large-vehicle,86840,0.05982830509131135
10,small-vehicle,115861,0.06184905978337435
11,helicopter,0,
12,roundabout,10922,0.025904407796154966
13,soccer-ball-field,27994,0.026384941387640876
14,swimming-pool,52001,0.07835476228847671
