name,n_keypoints,mean_response
P0063,1000,5.360976654492333e-05
P0081,1000,4.3401529722245865e-05
P0198,1000,3.9927551481014235e-05
P0308,820,1.552216534604451e-05
P0336,1000,4.829704503663379e-05
P0345,896,1.1665294388071448e-05
P0363,956,5.9208005077716764e-05
P0368,941,2.8566948475218518e-05
P0377,539,7.734513632364445e-06
P0452,996,6.806315094024398e-05
P0517,1000,0.00010086006664823799
P0565,971,2.9739108955696412e-05
P0649,299,1.5148627776713502e-05
P0699,1000,0.00013368894402992736
P0806,979,2.31976509047168e-05
P1003,1000,2.6458578850906633e-05
P1029,1000,4.397419124506996e-05
P1148,35,4.970652123250018e-06
P1158,54,3.2976636585199566e-06
P1207,4,9.967601926064162e-07
P1216,0,0.0
P1242,174,4.8840463742588575e-06
P1358,807,4.68192547933379e-06
P1522,227,4.758170657027871e-06
P1676,24,1.2472587395488215e-06
P1693,43,1.8557475361249513e-06
P1960,1000,0.00015808193299017147
P2002,1000,0.00010100903022976126
P2045,988,2.8762275465084604e-05
P2210,1000,7.420372901242445e-05
P2257,961,2.23767369612566e-05
P2278,1000,2.47853734531418e-05
P2332,1000,1.3745311991442577e-05
P2352,985,1.7661616267119125e-05
P2456,1000,3.9678504134371905e-05
P2528,1000,3.925178451117972e-05
P2591,1000,3.469994897761808e-05
P2613,1000,0.00011868587144272169
P2724,1000,1.2732311542549724e-05
P2754,1000,1.6874386609742943e-05
