name,n_keypoints,mean_response
P0063,1000,0.0021860206295677928
P0081,1000,0.001655915663104679
P0198,1000,0.0017015665474173147
P0308,1000,0.0008572144782774557
P0336,1000,0.0021213260312215425
P0345,1000,0.0005729693738949209
P0363,1000,0.0026204117781289823
P0368,1000,0.0014176151505307644
P0377,1000,0.00018446550590563504
P0452,1000,0.0027201444331731183
P0517,1000,0.004291572021727916
P0565,1000,0.00149066139794013
P0649,1000,0.00046809783873300146
P0699,1000,0.0091280184261268
P0806,1000,0.0013579555161777534
P1003,1000,0.0012109615497611231
P1029,1000,0.00214625041213003
P1148,510,0.0001565424002458659
P1158,890,0.0001114141668836055
P1207,668,1.105611283970329e-05
P1216,803,1.098879479014369e-05
P1242,1000,0.0002653283727008784
P1358,1000,0.0005777944411165663
P1522,1000,0.00020964100536593832
P1676,862,3.36529982630112e-05
P1693,742,3.191932221293832e-05
P1960,1000,0.007381097694160416
P2002,1000,0.006192405369831249
P2045,1000,0.0013398150786961196
P2210,1000,0.004555736443056958
P2257,1000,0.0009633646159563795
P2278,1000,0.0016436637484293897
P2332,1000,0.0011250844609749038
P2352,1000,0.0010998500852583675
P2456,1000,0.0017493551760271657
P2528,1000,0.0020838703840854577
P2591,1000,0.001517405329628673
P2613,1000,0.005700001218065154
P2724,1000,0.001243360172113171
P2754,1000,0.0015441033295937813
