name,n_dets,mean_conf
P0063,62,0.5220491886138916
P0081,9,0.5124050974845886
P0198,15,0.5347335934638977
P0308,12,0.3318781852722168
P0336,14,0.4905867874622345
P0345,13,0.3819497227668762
P0363,31,0.37784236669540405
P0368,58,0.38524171710014343
P0377,7,0.3981679081916809
P0452,10,0.5265734195709229
P0517,20,0.36758071184158325
P0565,14,0.3477926552295685
P0649,1,0.36804357171058655
P0699,13,0.7230262160301208
P0806,16,0.3564831018447876
P1003,13,0.48177284002304077
P1029,54,0.3813863694667816
P1148,0,0.0
P1158,8,0.35756972432136536
P1207,1,0.34252291917800903
P1216,0,0.0
P1242,1,0.32480016350746155
P1358,7,0.32898327708244324
P1522,1,0.2846212387084961
P1676,0,0.0
P1693,3,0.3727882206439972
P1960,99,0.4691772162914276
P2002,72,0.5520395636558533
P2045,40,0.3979947865009308
P2210,42,0.7385165095329285
P2257,10,0.3845016360282898
P2278,5,0.4379958510398865
P2332,26,0.3726705312728882
P2352,26,0.3130847215652466
P2456,34,0.5034680366516113
P2528,11,0.2919287383556366
P2591,12,0.3056693375110626
P2613,48,0.4392390251159668
P2724,15,0.3860192596912384
P2754,21,0.3665722608566284
