name,ods_threshold,ods_f_score
P0063,205,0.16666040308232696
P0081,42,0.06682066076891913
P0198,138,0.2721249823065632
P0308,20,0.1158475887597934
P0336,175,0.09645359870842904
P0345,183,0.06437046563995165
P0363,146,0.18257024952021586
P0368,34,0.15229175502466213
P0377,79,0.08840508626125798
P0452,153,0.07416169496179179
P0517,197,0.18887064979178678
P0565,190,0.0777631953024368
P0649,153,0.2660108462170606
P0699,116,0.08790071219472245
P0806,183,0.10497176191249133
P1003,212,0.1315145849944045
P1029,197,0.18651511206182483
P1148,20,0.045498977615082654
P1158,168,0.07559120611135693
P1207,190,1.0
P1216,20,0.42660718447248397
P1242,175,0.20716619097698274
P1358,160,0.11377934881285115
P1522,123,0.027257204548711274
P1676,168,0.015074624070710287
P1693,220,1.0
P1960,153,0.27278253284899934
P2002,190,0.17752287274950584
P2045,57,0.18802069420539919
P2210,175,0.12664239714826844
P2257,94,0.11411840348262482
P2278,197,0.11663396555482887
P2332,190,0.03356067361051558
P2352,131,0.005869743980511519
P2456,108,0.00806465848992774
P2528,57,0.02484443940988527
P2591,168,0.10514163765144127
P2613,153,0.20597823948477406
P2724,190,0.04674945215485756
P2754,160,0.005462235547864328
