class_id,class_name,n_gt_px,f_score
0,plane,64509,0.05847533283381684
1,ship,5474,0.07620498386090423
2,storage-tank,5526,0.0725950568873241
3,baseball-diamond,19516,0.018491932833866624
4,tennis-court,194379,0.07006881473877186
5,basketball-court,12744,0.06329583795281633
6,ground-track-field,29502,0.021427770814267107
7,harbor,140055,0.07556396456961911
8,bridge,7670,0.05545792023553331
9,large-vehicle,86840,0.06477868642791607
10,small-vehicle,115861,0.08306860486915982
11,helicopter,0,
12,roundabout,10922,0.023998416435267626
13,soccer-ball-field,27994,0.019615920192876845
14,swimming-pool,52001,0.07646235082535378
