class_id,class_name,n_gt,n_pred,ap_iou50
0,plane,48,50,0.8958333333333334
1,ship,6,10,1.0
2,storage-tank,15,9,0.6
3,baseball-diamond,11,8,0.7272727272727273
4,tennis-court,87,89,0.9522441160372196
5,basketball-court,6,4,0.6666666666666666
6,ground-track-field,9,7,0.6666666666666666
7,harbor,48,42,0.7471105283605284
8,bridge,10,9,0.788888888888889
9,large-vehicle,57,116,0.7528254358620178
10,small-vehicle,175,93,0.4386083796788052
11,helicopter,0,0,
12,roundabout,5,7,0.2
13,soccer-ball-field,7,13,0.5428571428571428
14,swimming-pool,64,9,0.08333333333333334
